"SKU","File","Result"
"ORCB100","img_0157.jpg","OK 168x167"
"ORCB101","img_0158.jpg","OK 168x167"
"ORCB102","img_0159.jpg","OK 168x167"
"ORCB103","img_0160.jpg","OK 168x167"
"ORCB104","img_0161.jpg","OK 168x167"
"ORCB106","img_0162.jpg","OK 168x167"
"ORCB107","img_0163.jpg","OK 168x167"
"ORCB108","img_0164.jpg","OK 168x167"
"ORCB110","img_0165.jpg","OK 168x167"
"ORCB111","img_0166.jpg","OK 168x167"
"ORCB113","img_0167.jpg","OK 168x167"
"ORCB114","img_0168.jpg","OK 168x167"
"ORCB115","img_0169.jpg","OK 168x167"
"ORCB116","img_0170.jpg","OK 168x167"
"ORCB117","img_0171.jpg","OK 168x167"
"ORCB118","img_0172.jpg","OK 168x167"
"ORCB119","img_0173.jpg","OK 168x167"
"ORCB120","img_0174.jpg","OK 168x167"
"ORCB122","img_0175.jpg","OK 168x203"
"ORCB123","img_0176.jpg","TOO LARGE 206x282"
"ORCB124","img_0177.jpg","OK 168x167"
"ORCB125","img_0178.jpg","OK 168x167"
"ORCB126","img_0179.jpg","OK 168x167"
"ORCB127","img_0180.jpg","OK 168x167"
"ORCB128","img_0181.jpg","OK 168x167"
"ORCB129","img_0182.jpg","OK 168x167"
"ORCB135","img_0183.jpg","OK 168x167"
"ORCB136","img_0184.jpg","OK 168x167"
"ORCB137","img_0185.jpg","OK 168x167"
"ORCB138","img_0186.jpg","OK 168x167"
"ORCB139","img_0187.jpg","OK 168x167"
"ORCB140","img_0188.jpg","OK 168x167"
"ORCB142","img_0189.jpg","OK 168x167"
"ORCB144","img_0193.jpg","OK 168x167"
"ORCB145","img_0521.jpg","OK 168x167"
"ORCB146","img_0194.jpg","OK 168x167"
"ORCB149","img_0195.jpg","OK 168x167"
"ORCB150","img_0196.jpg","OK 168x167"
"ORCB151","img_0197.jpg","OK 168x167"
"ORCB152","img_0198.jpg","OK 168x167"
"ORCB50","img_0123.jpg","OK 168x167"
"ORCB64","img_0137.jpg","OK 168x167"
"ORCB81","img_0149.jpg","OK 168x167"
"ORCB82","img_0150.jpg","OK 168x167"
"ORCB83","img_0151.jpg","OK 168x167"
"ORCB84","img_0152.jpg","OK 168x167"
"ORCB85","img_0153.jpg","OK 168x167"
"ORCB86","img_0154.jpg","OK 168x167"
"ORCB88","img_0155.jpg","OK 168x167"
"ORCB89","img_0156.jpg","OK 168x167"
