sku,invoice_qty,unit_cost_usd
ORSE18,10,5.36
ORSE19,14,6.67
ORSE22,11,8.97
ORSE42,15,11.59
ORSE46,13,14.22
ORSE71-L,12,3.17
ORSE71-R,13,3.06
ORSE71-W,12,3.06
ORSE76,15,4.92
ORSE84,22,2.84
ORSE102,24,3.97
ORSE103,22,3.75
ORSE114,15,3.28
ORSE266,9,3.35
ORSN04,15,4.16
ORSN38,15,5.10
ORSN40,15,5.43
ORSN41,15,5.64
ORSN43,15,6.41
ORSN44,12,5.86
ORSN60,15,7.81
ORSN89-P,11,6.08
ORSN174-P,15,6.62
ORSME13,2,7.69
ORSWB07,4,15.21
ORSWE07,17,8.86
ORSWE08,20,8.38
ORSWE09,20,7.37
ORSWE10,20,6.66
ORSWE11,15,4.77
ORSWE12,15,7.53
ORSWE14-B,15,6.84
ORSWE14-F,20,6.84
ORSWE15,15,5.48
ORSWE16,15,8.42
ORSWB04-F,20,12.44
ORSWB04-B,19,12.44
ORSWB05,15,12.23
ORSWB06-B,20,12.88
ORSWB06-F,20,12.88
ORSWB06-P,19,12.88
ORSWB08,21,10.79
ORSWN05-G,20,8.20
ORSWN05-P,20,8.20
ORSWN06-F,20,8.66
ORSWN06-B,18,8.66
ORSWN07,20,8.38
ORSWN08,20,8.16
ORSWE01-R,19,5.60
ORSWE02-P,20,4.17
ORSWE03-P,20,5.40
ORSWE04-P,20,5.07
ORSWE05-P,15,6.93
ORSWE06-B,19,4.29
ORSWE06-F,15,4.29
ORSWN01-P,20,7.53
ORSWN02-P,20,6.44
ORSWN03-P,18,7.63
ORSWN04-B,19,6.96
ORSWN04-F,20,6.96
ORSWN04-P,20,6.96
ORSWN04-G,20,6.96
ORSWB01-P,20,13.23
ORSWB02-P,20,7.08
ORSWB03-B,20,8.71
ORSWB03-F,20,8.71
ORSWE17-F,20,6.10
ORSWE17-B,20,6.10
ORSWN15,20,8.41
ORSWN16,19,8.30
ORSB42,20,8.52
ORSB43,20,7.71
ORSB61-16.5,20,9.41
ORSB61-18,19,9.84
ORSB62-16.5,19,11.05
ORSB62-18,19,11.38
ORSB92-6.5",19,10.61
ORSB92-7",19,11.16
ORSB93-6.5",20,13.34
ORSB93-7",19,13.56
ORSB94-6.5",15,11.70
ORSB94-7",16,12.91
ORSB95-6.5",13,15.97
ORSB95-7",14,17.28
ORCB04,10,4.38
ORCB176,50,7.32
ORSE340-P,10,9.57
ORSE340-14K,10,9.10
ORSN290-P,7,8.05
ORSN290-14K,10,7.78
ORSN292,10,9.43
ORSE341,10,9.66
ORSE37,15,5.10
ORSE80,10,4.76
ORSE82,15,7.26
ORSE86-P,1,1.93
ORSE97,9,3.63
ORSE101-R,2,6.33
ORSE105-P,10,3.85
ORSE105-R,15,3.85
ORSE106-R,10,2.45
ORSE106-P,10,2.54
ORSE118,10,3.06
ORSE119-W,10,2.31
ORSE146-40cm,10,5.10
ORSE146-50cm,10,6.24
ORSE151-P,10,5.78
ORSE152-G,8,6.46
ORSE152-P,5,6.46
ORSE164,10,4.76
ORSE171-G,10,3.06
ORSE171-P,10,3.06
ORSE186-W,10,3.46
ORSE186-B,10,3.46
ORSE192-B,10,3.74
ORSE192-W,15,3.54
ORSE205,10,3.85
ORSE207,15,5.90
ORSE208,18,3.85
ORSE210,5,4.76
ORSE212,10,5.44
ORSE218,10,3.63
ORSE220,10,12.29
ORSE221,10,20.52
ORSE222,8,12.85
ORSE223,10,18.89
ORSE229,10,7.64
ORSE231,15,5.53
ORSE232,8,6.05
ORSE234,10,6.87
ORSE237,10,6.24
ORSE238,10,4.58
ORSE240,10,6.62
ORSE243,10,6.83
ORSE245-R,10,6.01
ORSE245-G,10,6.01
ORSE247-G,10,5.87
ORSE247-R,10,5.58
ORSE247-P,10,6.08
ORSE248-G,10,3.56
ORSE248-P,10,3.56
ORSE248-R,9,3.56
ORSE259,10,3.54
ORSE262,10,7.48
ORSE267,10,6.92
ORSE279-R,10,4.99
ORSE280,10,3.99
ORSE290,10,6.69
ORSE291,9,8.73
ORSE294,5,7.03
ORSE295-P,10,4.88
ORSE295-G,9,4.65
ORSE296-G,10,5.56
ORSE296-P,10,5.56
ORSE302,10,4.99
ORSE303,10,4.95
ORSE306,10,6.26
ORSE308,10,5.76
ORSE309,10,4.67
ORSE310,10,4.60
ORSE312,10,6.24
ORSE314,7,6.39
