"SKU","File","Score"
"ORCB01","ORCB01.jpg","254,8"
"ORCB02","ORCB02.jpg","255"
"ORCB03","ORCB03.jpg","254,5"
"ORCB05","ORCB05.jpg","254,5"
"ORCB06","ORCB06.jpg","254"
"ORCB07","ORCB07.jpg","254,2"
"ORCB08","ORCB08.jpg","253,9"
"ORCB09","ORCB09.jpg","252,7"
"ORCB10","ORCB10.jpg","254,6"
"ORCB100","ORCB100.jpg","255"
"ORCB101","ORCB101.jpg","254,9"
"ORCB102","ORCB102.jpg","255"
"ORCB103","ORCB103.jpg","253,9"
"ORCB104","ORCB104.jpg","254"
"ORCB106","ORCB106.jpg","254,9"
"ORCB107","ORCB107.jpg","254,4"
"ORCB108","ORCB108.jpg","254,7"
"ORCB11","ORCB11.jpg","253,5"
"ORCB110","ORCB110.jpg","254,6"
"ORCB111","ORCB111.jpg","254,6"
"ORCB113","ORCB113.jpg","254,8"
"ORCB114","ORCB114.jpg","255"
"ORCB115","ORCB115.jpg","255"
"ORCB116","ORCB116.jpg","255"
"ORCB117","ORCB117.jpg","243,8"
"ORCB118","ORCB118.jpg","254,9"
"ORCB119","ORCB119.jpg","245,1"
"ORCB12","ORCB12.jpg","254,3"
"ORCB120","ORCB120.jpg","253,1"
"ORCB122","ORCB122.jpg","255"
"ORCB123","ORCB123.jpg","252,3"
"ORCB124","ORCB124.jpg","255"
"ORCB125","ORCB125.jpg","244,6"
"ORCB126","ORCB126.jpg","255"
"ORCB127","ORCB127.jpg","254,6"
"ORCB128","ORCB128.jpg","233,5"
"ORCB129","ORCB129.jpg","251,4"
"ORCB13","ORCB13.jpg","252"
"ORCB135","ORCB135.jpg","251,4"
"ORCB136","ORCB136.jpg","249,6"
"ORCB137","ORCB137.jpg","246,9"
"ORCB138","ORCB138.jpg","245,2"
"ORCB139","ORCB139.jpg","248,3"
"ORCB14","ORCB14.jpg","252,2"
"ORCB140","ORCB140.jpg","213,7"
"ORCB142","ORCB142.jpg","247,8"
"ORCB144","ORCB144.jpg","255"
"ORCB145","ORCB145.jpg","252"
"ORCB146","ORCB146.jpg","254"
"ORCB149","ORCB149.jpg","255"
"ORCB15","ORCB15.jpg","250,1"
"ORCB150","ORCB150.jpg","255"
"ORCB151","ORCB151.jpg","254,6"
"ORCB152","ORCB152.jpg","255"
"ORCB153","ORCB153.jpg","254"
"ORCB154","ORCB154.jpg","254"
"ORCB155","ORCB155.jpg","254"
"ORCB156","ORCB156.jpg","254"
"ORCB157","ORCB157.jpg","254"
"ORCB159","ORCB159.jpg","254"
"ORCB16","ORCB16.jpg","251,8"
"ORCB160","ORCB160.jpg","254"
"ORCB161","ORCB161.jpg","254"
"ORCB162","ORCB162.jpg","254"
"ORCB163","ORCB163.jpg","254"
"ORCB164","ORCB164.jpg","254"
"ORCB165","ORCB165.jpg","254"
"ORCB166","ORCB166.jpg","254"
"ORCB168","ORCB168.jpg","253,8"
"ORCB169","ORCB169.jpg","254"
"ORCB17","ORCB17.jpg","253,3"
"ORCB170","ORCB170.jpg","254"
"ORCB171","ORCB171.jpg","254"
"ORCB173","ORCB173.jpg","254"
"ORCB174","ORCB174.jpg","255"
"ORCB175","ORCB175.jpg","255"
"ORCB177","ORCB177.jpg","255"
"ORCB179","ORCB179.jpg","255"
"ORCB18","ORCB18.jpg","250,4"
"ORCB180","ORCB180.jpg","255"
"ORCB182","ORCB182.jpg","255"
"ORCB183-A","ORCB183-A.jpg","185,1"
"ORCB183-B","ORCB183-B.jpg","179,3"
"ORCB183-C","ORCB183-C.jpg","174,5"
"ORCB183-D","ORCB183-D.jpg","176"
"ORCB183-E","ORCB183-E.jpg","177,1"
"ORCB183-F","ORCB183-F.jpg","178,3"
"ORCB183-G","ORCB183-G.jpg","177"
"ORCB183-H","ORCB183-H.jpg","180"
"ORCB183-I","ORCB183-I.jpg","170"
"ORCB183-J","ORCB183-J.jpg","179,3"
"ORCB183-K","ORCB183-K.jpg","174"
"ORCB183-L","ORCB183-L.jpg","185,3"
"ORCB183-M","ORCB183-M.jpg","183,3"
"ORCB183-N","ORCB183-N.jpg","185,1"
"ORCB183-O","ORCB183-O.jpg","180,3"
"ORCB183-P","ORCB183-P.jpg","185,6"
"ORCB183-Q","ORCB183-Q.jpg","179,3"
"ORCB183-R","ORCB183-R.jpg","182,8"
"ORCB183-S","ORCB183-S.jpg","172,6"
"ORCB183-T","ORCB183-T.jpg","166,8"
"ORCB183-U","ORCB183-U.jpg","185,1"
"ORCB183-V","ORCB183-V.jpg","174,9"
"ORCB183-W","ORCB183-W.jpg","177,4"
"ORCB183-X","ORCB183-X.jpg","188,9"
"ORCB183-Y","ORCB183-Y.jpg","168,7"
"ORCB183-Z","ORCB183-Z.jpg","178,6"
"ORCB199","ORCB199.jpg","255"
"ORCB20","ORCB20.jpg","251,7"
"ORCB200","ORCB200.jpg","255"
"ORCB201","ORCB201.jpg","255"
"ORCB202","ORCB202.jpg","255"
"ORCB203","ORCB203.jpg","255"
"ORCB204","ORCB204.jpg","255"
"ORCB205","ORCB205.jpg","255"
"ORCB206","ORCB206.jpg","255"
"ORCB208","ORCB208.jpg","254,9"
"ORCB209","ORCB209.jpg","254,9"
"ORCB21","ORCB21.jpg","252,6"
"ORCB210","ORCB210.jpg","255"
"ORCB211","ORCB211.jpg","254,9"
"ORCB212","ORCB212.jpg","254,9"
"ORCB213","ORCB213.jpg","255"
"ORCB214","ORCB214-2.jpg","12,6"
"ORCB214","ORCB214-3.jpg","254"
"ORCB214","ORCB214-4.jpg","203,2"
"ORCB214","ORCB214.jpg","249,6"
"ORCB215","ORCB215.jpg","254,9"
"ORCB216","ORCB216.jpg","255"
"ORCB217","ORCB217.jpg","255"
"ORCB218","ORCB218.jpg","255"
"ORCB219","ORCB219.jpg","254"
"ORCB22","ORCB22.jpg","251,3"
"ORCB220","ORCB220.jpg","254"
"ORCB221","ORCB221.jpg","254,4"
"ORCB23","ORCB23.jpg","247,1"
"ORCB25","ORCB25.jpg","254,1"
"ORCB26","ORCB26.jpg","249,2"
"ORCB27","ORCB27.jpg","252,1"
"ORCB28","ORCB28.jpg","252,7"
"ORCB29","ORCB29.jpg","255"
"ORCB30","ORCB30.jpg","254,3"
"ORCB32-Agr","ORCB32-Agr.jpg","252,6"
"ORCB32-Ari","ORCB32-Ari.jpg","249,5"
"ORCB32-Cap","ORCB32-Cap.jpg","250"
"ORCB32-Cnc","ORCB32-Cnc.jpg","246,2"
"ORCB32-Gem","ORCB32-Gem.jpg","250,6"
"ORCB32-Leo","ORCB32-Leo.jpg","251,4"
"ORCB32-Lib","ORCB32-Lib.jpg","249,8"
"ORCB32-Psc","ORCB32-Psc.jpg","246,3"
"ORCB32-Sco","ORCB32-Sco.jpg","249,8"
"ORCB32-Sgr","ORCB32-Sgr.jpg","243,2"
"ORCB32-Tau","ORCB32-Tau.jpg","248,1"
"ORCB32-Vir","ORCB32-Vir.jpg","248,3"
"ORCB33-BL","ORCB33-BL.jpg","253,2"
"ORCB33-F","ORCB33-F.jpg","252,1"
"ORCB33-G","ORCB33-G.jpg","249,3"
"ORCB33-L","ORCB33-L.jpg","251"
"ORCB33-LV","ORCB33-LV.jpg","254,2"
"ORCB33-M","ORCB33-M.jpg","254,5"
"ORCB33-P","ORCB33-P.jpg","250,4"
"ORCB33-PL","ORCB33-PL.jpg","254,9"
"ORCB33-Q","ORCB33-Q.jpg","251,7"
