"File","Verdict","Box","W","H","Navy","Gold","Detail"
"ORCB214-a.jpg","no-crest","","0","0","0","0","no crest in the corner"
"ORCB214-b.jpg","no-crest","","0","0","0","0","no crest in the corner"
"ORCB214-c.jpg","no-crest","","0","0","0","0","no crest in the corner"
"ORCB214-d.jpg","no-crest","","0","0","0","0","no crest in the corner"
"ORCBB01-17-a.jpg","FILL-SAFE","11,0 -> 214,271","204","272","3053","282",""
"ORCBB01-17-b.jpg","needs-repaint","0,0 -> 1000,1000","1001","1001","3054","278","grow ran away (1001 x 1001) - background is not plain; surround not plain (100% non-white)"
"ORCBB01-17-c.jpg","needs-repaint","0,0 -> 1000,1000","1001","1001","3053","281","grow ran away (1001 x 1001) - background is not plain; surround not plain (100% non-white)"
"ORCBB01-17-d.jpg","FILL-SAFE","153,0 -> 299,192","147","193","1379","199",""
"ORCBB01-19-a.jpg","FILL-SAFE","11,0 -> 214,271","204","272","3053","282",""
"ORCBB01-19-b.jpg","needs-repaint","0,0 -> 1000,1000","1001","1001","3054","278","grow ran away (1001 x 1001) - background is not plain; surround not plain (100% non-white)"
"ORCBB01-19-c.jpg","needs-repaint","0,0 -> 1000,1000","1001","1001","3053","281","grow ran away (1001 x 1001) - background is not plain; surround not plain (100% non-white)"
"ORCBB01-19-d.jpg","FILL-SAFE","153,0 -> 299,192","147","193","1379","199",""
"ORCBB01-21-a.jpg","FILL-SAFE","11,0 -> 214,271","204","272","3053","282",""
"ORCBB01-21-b.jpg","needs-repaint","0,0 -> 1000,1000","1001","1001","3054","278","grow ran away (1001 x 1001) - background is not plain; surround not plain (100% non-white)"
"ORCBB01-21-c.jpg","needs-repaint","0,0 -> 1000,1000","1001","1001","3053","281","grow ran away (1001 x 1001) - background is not plain; surround not plain (100% non-white)"
"ORCBB01-21-d.jpg","FILL-SAFE","153,0 -> 299,192","147","193","1379","199",""
"ORGCB05-P-18-a.jpg","no-crest","","0","0","0","0","no crest in the corner"
"ORGCB05-P-18-b.jpg","FILL-SAFE","11,0 -> 216,272","206","273","3037","351",""
"ORGCB05-P-18-c.jpg","needs-repaint","0,0 -> 1000,1000","1001","1001","3039","349","grow ran away (1001 x 1001) - background is not plain; surround not plain (100% non-white)"
"ORGCB05-P-18-d.jpg","no-crest","","0","0","0","0","no crest in the corner"
"ORGCB06-P-a.jpg","FILL-SAFE","11,0 -> 216,272","206","273","3037","351",""
"ORGCB06-P-b.jpg","needs-repaint","0,0 -> 1000,1000","1001","1001","3040","352","grow ran away (1001 x 1001) - background is not plain; surround not plain (100% non-white)"
