"SKU","File","Path","W","H","Bg","Bar","Class","AspectDev"
"ORCB214","333.jpg","E:\HD PICTURE\ORCB214\333.jpg","800","800","248,4","15","PLAIN","0"
"ORCB214","CB214-MAIN-IMG_00-S.jpg","E:\HD PICTURE\ORCB214\CB214-MAIN-IMG_00-S.jpg","800","800","12,6","25","MODEL","0"
"ORCB214","CB214-MAIN-IMG_0079-(1)-S.jpg","E:\HD PICTURE\ORCB214\CB214-MAIN-IMG_0079-(1)-S.jpg","800","800","254","0","PLAIN","0"
"ORCB214","CB214-MAIN-IMG_0079-(2)-S.jpg","E:\HD PICTURE\ORCB214\CB214-MAIN-IMG_0079-(2)-S.jpg","800","800","202,9","0","PLAIN","0"
"ORCB214","CB214-MAIN-IMG_0079-(3)-S.jpg","E:\HD PICTURE\ORCB214\CB214-MAIN-IMG_0079-(3)-S.jpg","800","800","179,4","0","PLAIN","0"
"ORCBB01-17","1.jpg","E:\HD PICTURE\Orloff customized design\CBB01\1.jpg","1001","1001","247,1","88,8","INFO","0"
"ORCBB01-17","12.jpg","E:\HD PICTURE\Orloff customized design\CBB01\12.jpg","970","658","251,6","2,1","PLAIN","0,474"
"ORCBB01-17","122.jpg","E:\HD PICTURE\Orloff customized design\CBB01\122.jpg","970","701","249,1","61,3","PLAIN","0,384"
"ORCBB01-17","13.jpg","E:\HD PICTURE\Orloff customized design\CBB01\13.jpg","970","668","249,4","21,8","PLAIN","0,452"
"ORCBB01-17","2.jpg","E:\HD PICTURE\Orloff customized design\CBB01\2.jpg","1001","1001","247,1","88,8","INFO","0"
"ORCBB01-17","3.jpg","E:\HD PICTURE\Orloff customized design\CBB01\3.jpg","1001","1001","247,1","88,8","INFO","0"
"ORCBB01-17","30.jpg","E:\HD PICTURE\Orloff customized design\CBB01\30.jpg","970","695","249,6","27,6","PLAIN","0,396"
"ORCBB01-17","IMG_0815.jpg","E:\HD PICTURE\Orloff customized design\CBB01\IMG_0815.jpg","1001","1001","246,5","3,6","PLAIN","0"
"ORCBB01-17","IMG_0822.jpg","E:\HD PICTURE\Orloff customized design\CBB01\IMG_0822.jpg","1001","1001","206,9","0","PLAIN","0"
"ORCBB01-17","IMG_0837.jpg","E:\HD PICTURE\Orloff customized design\CBB01\IMG_0837.jpg","1001","1001","206,2","0","PLAIN","0"
"ORCBB01-19","1.jpg","E:\HD PICTURE\Orloff customized design\CBB01\1.jpg","1001","1001","247,1","88,8","INFO","0"
"ORCBB01-19","12.jpg","E:\HD PICTURE\Orloff customized design\CBB01\12.jpg","970","658","251,6","2,1","PLAIN","0,474"
"ORCBB01-19","122.jpg","E:\HD PICTURE\Orloff customized design\CBB01\122.jpg","970","701","249,1","61,3","PLAIN","0,384"
"ORCBB01-19","13.jpg","E:\HD PICTURE\Orloff customized design\CBB01\13.jpg","970","668","249,4","21,8","PLAIN","0,452"
"ORCBB01-19","2.jpg","E:\HD PICTURE\Orloff customized design\CBB01\2.jpg","1001","1001","247,1","88,8","INFO","0"
"ORCBB01-19","3.jpg","E:\HD PICTURE\Orloff customized design\CBB01\3.jpg","1001","1001","247,1","88,8","INFO","0"
"ORCBB01-19","30.jpg","E:\HD PICTURE\Orloff customized design\CBB01\30.jpg","970","695","249,6","27,6","PLAIN","0,396"
"ORCBB01-19","IMG_0815.jpg","E:\HD PICTURE\Orloff customized design\CBB01\IMG_0815.jpg","1001","1001","246,5","3,6","PLAIN","0"
"ORCBB01-19","IMG_0822.jpg","E:\HD PICTURE\Orloff customized design\CBB01\IMG_0822.jpg","1001","1001","206,9","0","PLAIN","0"
