"SKU","Pos","File","Path","Class","Dim","Bg"
"ORCB214","1","CB214-MAIN-IMG_0079-(1)-S.jpg","E:\HD PICTURE\ORCB214\CB214-MAIN-IMG_0079-(1)-S.jpg","PLAIN","800x800","254"
"ORCB214","2","333.jpg","E:\HD PICTURE\ORCB214\333.jpg","PLAIN","800x800","248,4"
"ORCB214","3","CB214-MAIN-IMG_0079-(2)-S.jpg","E:\HD PICTURE\ORCB214\CB214-MAIN-IMG_0079-(2)-S.jpg","PLAIN","800x800","202,9"
"ORCB214","4","CB214-MAIN-IMG_0079-(3)-S.jpg","E:\HD PICTURE\ORCB214\CB214-MAIN-IMG_0079-(3)-S.jpg","PLAIN","800x800","179,4"
"ORCBB01-17","1","IMG_0815.jpg","E:\HD PICTURE\Orloff customized design\CBB01\IMG_0815.jpg","PLAIN","1001x1001","246,5"
"ORCBB01-17","2","IMG_0822.jpg","E:\HD PICTURE\Orloff customized design\CBB01\IMG_0822.jpg","PLAIN","1001x1001","206,9"
"ORCBB01-17","3","IMG_0837.jpg","E:\HD PICTURE\Orloff customized design\CBB01\IMG_0837.jpg","PLAIN","1001x1001","206,2"
"ORCBB01-17","4","122.jpg","E:\HD PICTURE\Orloff customized design\CBB01\122.jpg","PLAIN","970x701","249,1"
"ORCBB01-19","1","IMG_0815.jpg","E:\HD PICTURE\Orloff customized design\CBB01\IMG_0815.jpg","PLAIN","1001x1001","246,5"
"ORCBB01-19","2","IMG_0822.jpg","E:\HD PICTURE\Orloff customized design\CBB01\IMG_0822.jpg","PLAIN","1001x1001","206,9"
"ORCBB01-19","3","IMG_0837.jpg","E:\HD PICTURE\Orloff customized design\CBB01\IMG_0837.jpg","PLAIN","1001x1001","206,2"
"ORCBB01-19","4","122.jpg","E:\HD PICTURE\Orloff customized design\CBB01\122.jpg","PLAIN","970x701","249,1"
"ORCBB01-21","1","IMG_0815.jpg","E:\HD PICTURE\Orloff customized design\CBB01\IMG_0815.jpg","PLAIN","1001x1001","246,5"
"ORCBB01-21","2","IMG_0822.jpg","E:\HD PICTURE\Orloff customized design\CBB01\IMG_0822.jpg","PLAIN","1001x1001","206,9"
