"sku","position","target","class","source"
"ORCB214","1","ORCB214-a.jpg","PLAIN","E:\HD PICTURE\ORCB214\CB214-MAIN-IMG_0079-(1)-S.jpg"
"ORCB214","2","ORCB214-b.jpg","PLAIN","E:\HD PICTURE\ORCB214\333.jpg"
"ORCB214","3","ORCB214-c.jpg","PLAIN","E:\HD PICTURE\ORCB214\CB214-MAIN-IMG_0079-(2)-S.jpg"
"ORCB214","4","ORCB214-d.jpg","PLAIN","E:\HD PICTURE\ORCB214\CB214-MAIN-IMG_0079-(3)-S.jpg"
"ORCBB01-17","1","ORCBB01-17-a.jpg","PLAIN","E:\HD PICTURE\Orloff customized design\CBB01\IMG_0815.jpg"
"ORCBB01-17","2","ORCBB01-17-b.jpg","PLAIN","E:\HD PICTURE\Orloff customized design\CBB01\IMG_0822.jpg"
"ORCBB01-17","3","ORCBB01-17-c.jpg","PLAIN","E:\HD PICTURE\Orloff customized design\CBB01\IMG_0837.jpg"
"ORCBB01-17","4","ORCBB01-17-d.jpg","PLAIN","E:\HD PICTURE\Orloff customized design\CBB01\122.jpg"
"ORCBB01-19","1","ORCBB01-19-a.jpg","PLAIN","E:\HD PICTURE\Orloff customized design\CBB01\IMG_0815.jpg"
"ORCBB01-19","2","ORCBB01-19-b.jpg","PLAIN","E:\HD PICTURE\Orloff customized design\CBB01\IMG_0822.jpg"
"ORCBB01-19","3","ORCBB01-19-c.jpg","PLAIN","E:\HD PICTURE\Orloff customized design\CBB01\IMG_0837.jpg"
"ORCBB01-19","4","ORCBB01-19-d.jpg","PLAIN","E:\HD PICTURE\Orloff customized design\CBB01\122.jpg"
"ORCBB01-21","1","ORCBB01-21-a.jpg","PLAIN","E:\HD PICTURE\Orloff customized design\CBB01\IMG_0815.jpg"
"ORCBB01-21","2","ORCBB01-21-b.jpg","PLAIN","E:\HD PICTURE\Orloff customized design\CBB01\IMG_0822.jpg"
"ORCBB01-21","3","ORCBB01-21-c.jpg","PLAIN","E:\HD PICTURE\Orloff customized design\CBB01\IMG_0837.jpg"
"ORCBB01-21","4","ORCBB01-21-d.jpg","PLAIN","E:\HD PICTURE\Orloff customized design\CBB01\122.jpg"
"ORGCB05-P-18","1","ORGCB05-P-18-a.jpg","PLAIN","E:\HD PICTURE\Orloff customized design\GCB05\GCB05.jpg"
"ORGCB05-P-18","2","ORGCB05-P-18-b.jpg","PLAIN","E:\HD PICTURE\Orloff customized design\GCB05\IMG_9370.jpg"
