sku,order,source_folder,source_file,target_file,unique_to_sku,shape,rank,note
ORCB214,1,ORCB214,333.jpg,ORCB214.jpg,yes,square,1,
ORCB214,2,ORCB214,CB214-MAIN-IMG_00-S.jpg,ORCB214-2.jpg,yes,square,1,
ORCB214,3,ORCB214,CB214-MAIN-IMG_0079-(1)-S.jpg,ORCB214-3.jpg,yes,square,1,
ORCB214,4,ORCB214,CB214-MAIN-IMG_0079-(2)-S.jpg,ORCB214-4.jpg,yes,square,1,
ORCB214,5,ORCB214,CB214-MAIN-IMG_0079-(3)-S.jpg,ORCB214-5.jpg,yes,square,1,
ORCBB01-17,1,Orloff customized design/CBB01,1.jpg,ORCBB01-17.jpg,yes,square,1,"shared across the sizes of one bracelet, expected"
ORCBB01-17,2,Orloff customized design/CBB01,12.jpg,ORCBB01-17-2.jpg,yes,square,1,"shared across the sizes of one bracelet, expected"
ORCBB01-17,3,Orloff customized design/CBB01,122.jpg,ORCBB01-17-3.jpg,yes,square,1,"shared across the sizes of one bracelet, expected"
ORCBB01-17,4,Orloff customized design/CBB01,13.jpg,ORCBB01-17-4.jpg,yes,square,1,"shared across the sizes of one bracelet, expected"
ORCBB01-17,5,Orloff customized design/CBB01,2.jpg,ORCBB01-17-5.jpg,yes,square,1,"shared across the sizes of one bracelet, expected"
ORCBB01-17,6,Orloff customized design/CBB01,3.jpg,ORCBB01-17-6.jpg,yes,square,1,"shared across the sizes of one bracelet, expected"
ORCBB01-17,7,Orloff customized design/CBB01,30.jpg,ORCBB01-17-7.jpg,yes,square,1,"shared across the sizes of one bracelet, expected"
ORCBB01-17,8,Orloff customized design/CBB01,IMG_0815.jpg,ORCBB01-17-8.jpg,yes,square,1,"shared across the sizes of one bracelet, expected"
ORCBB01-17,9,Orloff customized design/CBB01,IMG_0822.jpg,ORCBB01-17-9.jpg,yes,square,1,"shared across the sizes of one bracelet, expected"
ORCBB01-17,10,Orloff customized design/CBB01,IMG_0837.jpg,ORCBB01-17-10.jpg,yes,square,1,"shared across the sizes of one bracelet, expected"
ORCBB01-19,1,Orloff customized design/CBB01,1.jpg,ORCBB01-19.jpg,yes,square,1,"shared across the sizes of one bracelet, expected"
ORCBB01-19,2,Orloff customized design/CBB01,12.jpg,ORCBB01-19-2.jpg,yes,square,1,"shared across the sizes of one bracelet, expected"
ORCBB01-19,3,Orloff customized design/CBB01,122.jpg,ORCBB01-19-3.jpg,yes,square,1,"shared across the sizes of one bracelet, expected"
ORCBB01-19,4,Orloff customized design/CBB01,13.jpg,ORCBB01-19-4.jpg,yes,square,1,"shared across the sizes of one bracelet, expected"
ORCBB01-19,5,Orloff customized design/CBB01,2.jpg,ORCBB01-19-5.jpg,yes,square,1,"shared across the sizes of one bracelet, expected"
ORCBB01-19,6,Orloff customized design/CBB01,3.jpg,ORCBB01-19-6.jpg,yes,square,1,"shared across the sizes of one bracelet, expected"
ORCBB01-19,7,Orloff customized design/CBB01,30.jpg,ORCBB01-19-7.jpg,yes,square,1,"shared across the sizes of one bracelet, expected"
ORCBB01-19,8,Orloff customized design/CBB01,IMG_0815.jpg,ORCBB01-19-8.jpg,yes,square,1,"shared across the sizes of one bracelet, expected"
ORCBB01-19,9,Orloff customized design/CBB01,IMG_0822.jpg,ORCBB01-19-9.jpg,yes,square,1,"shared across the sizes of one bracelet, expected"
ORCBB01-19,10,Orloff customized design/CBB01,IMG_0837.jpg,ORCBB01-19-10.jpg,yes,square,1,"shared across the sizes of one bracelet, expected"
ORCBB01-21,1,Orloff customized design/CBB01,1.jpg,ORCBB01-21.jpg,yes,square,1,"shared across the sizes of one bracelet, expected"
ORCBB01-21,2,Orloff customized design/CBB01,12.jpg,ORCBB01-21-2.jpg,yes,square,1,"shared across the sizes of one bracelet, expected"
ORCBB01-21,3,Orloff customized design/CBB01,122.jpg,ORCBB01-21-3.jpg,yes,square,1,"shared across the sizes of one bracelet, expected"
ORCBB01-21,4,Orloff customized design/CBB01,13.jpg,ORCBB01-21-4.jpg,yes,square,1,"shared across the sizes of one bracelet, expected"
ORCBB01-21,5,Orloff customized design/CBB01,2.jpg,ORCBB01-21-5.jpg,yes,square,1,"shared across the sizes of one bracelet, expected"
ORCBB01-21,6,Orloff customized design/CBB01,3.jpg,ORCBB01-21-6.jpg,yes,square,1,"shared across the sizes of one bracelet, expected"
ORCBB01-21,7,Orloff customized design/CBB01,30.jpg,ORCBB01-21-7.jpg,yes,square,1,"shared across the sizes of one bracelet, expected"
ORCBB01-21,8,Orloff customized design/CBB01,IMG_0815.jpg,ORCBB01-21-8.jpg,yes,square,1,"shared across the sizes of one bracelet, expected"
ORCBB01-21,9,Orloff customized design/CBB01,IMG_0822.jpg,ORCBB01-21-9.jpg,yes,square,1,"shared across the sizes of one bracelet, expected"
