sku,in_appendix_a,invoice_rows,folder,folder_label_matches,resolved_by,match_type,file_count,primary_can_be_auto_picked,suggested_primary,all_files
ORCB214,YES,498,ORCB214,yes,foldername,exact,5,no,333.jpg,333.jpg|CB214-MAIN-IMG_00-S.jpg|CB214-MAIN-IMG_0079-(1)-S.jpg|CB214-MAIN-IMG_0079-(2)-S.jpg|CB214-MAIN-IMG_0079-(3)-S.jpg
ORCBB01-17,YES,227,Orloff customized design/CBB01,yes,foldername (shared),one-to-many,10,no,1.jpg,1.jpg|12.jpg|122.jpg|13.jpg|2.jpg|3.jpg|30.jpg|IMG_0815.jpg|IMG_0822.jpg|IMG_0837.jpg
ORCBB01-19,YES,228,Orloff customized design/CBB01,yes,foldername (shared),one-to-many,10,no,1.jpg,1.jpg|12.jpg|122.jpg|13.jpg|2.jpg|3.jpg|30.jpg|IMG_0815.jpg|IMG_0822.jpg|IMG_0837.jpg
ORCBB01-21,YES,229,Orloff customized design/CBB01,yes,foldername (shared),one-to-many,10,no,1.jpg,1.jpg|12.jpg|122.jpg|13.jpg|2.jpg|3.jpg|30.jpg|IMG_0815.jpg|IMG_0822.jpg|IMG_0837.jpg
ORGCB05-P-18,YES,390,Orloff customized design/GCB05,NO,filename,suffix-dropped,8,yes,GCB05.jpg,03.jpg|1.jpg|2.jpg|GCB05.jpg|IMG_0188.jpg|IMG_0310.jpg|IMG_0469.jpg|IMG_9370.jpg
ORGCB06-P,YES,391,Orloff customized design/GCB06,NO,filename,suffix-dropped,7,yes,GCB06.jpg,1.jpg|2.jpg|GCB06.jpg|IMG_0095.jpg|IMG_0135.jpg|IMG_0324.jpg|IMG_0536.jpg
ORGCB07-18K,YES,393,Orloff customized design/GCB07-18K,yes,foldername,exact,5,no,1.jpg,1.jpg|IMG_2049.jpg|IMG_2287.jpg|IMG_3062.jpg|IMG_9307.jpg
ORGCB07-P,YES,394,Orloff customized design/GCB07-P,yes,filename,exact,6,yes,GCB07-P.jpg,1.jpg|GCB07-P.jpg|IMG_0174.jpg|IMG_0330.jpg|IMG_0528.jpg|IMG_9307.jpg
ORGCB08-18K,YES,396,Orloff customized design/GCB08-18K,yes,foldername,exact,7,no,1.jpg,1.jpg|2.jpg|3.jpg|IMG_2257.jpg|IMG_2513.jpg|IMG_3065.jpg|IMG_9384.jpg
ORGCB08-P,YES,395,Orloff customized design/GCB08-P,yes,filename,exact,8,yes,GCB08-P.jpg,1.jpg|2.jpg|3.jpg|GCB08-P.jpg|IMG_0179.jpg|IMG_0319.jpg|IMG_0410.jpg|IMG_9384.jpg
ORGCB09-P,YES,397,Orloff customized design/GCB09,NO,filename,suffix-dropped,8,yes,GCB09.jpg,1.jpg|2.jpg|3.jpg|GCB09.jpg|IMG_0166.jpg|IMG_0313.jpg|IMG_0476.jpg|IMG_9366.jpg
ORGCB10-P,YES,398,Orloff customized design/GCB10,NO,filename,suffix-dropped,8,yes,GCB10.jpg,07.jpg|1.jpg|2.jpg|GCB10.jpg|IMG_0159.jpg|IMG_0161.jpg|IMG_0315.jpg|IMG_0425.jpg
ORGCB109,YES,529,GCB109,yes,filename,exact,13,yes,GCB109.jpg,2 (2).jpg|2.jpg|GCB109-1.jpg|GCB109-2.jpg|GCB109-3.jpg|GCB109.jpg|IMG_23462 (2).jpg|IMG_23462.jpg|IMG_9210 (2).jpg|IMG_9210.jpg|IMG_9375-R.jpg|IMG_9378.jpg|IMG_9379-S.jpg
ORGCB11-18K,YES,399,Orloff customized design/GCB11,NO,filename,suffix-dropped,6,yes,GCB11.jpg,02.jpg|GCB11.jpg|IMG_0138.jpg|IMG_0297.jpg|IMG_0481.jpg|IMG_9377.jpg
ORGCB110,YES,530,GCB110,yes,filename,exact,13,yes,GCB110.jpg,4 (2).jpg|4.jpg|GCB110-1.jpg|GCB110-2.jpg|GCB110-3.jpg|GCB110.jpg|IMG_23461 (2).jpg|IMG_23461.jpg|IMG_9223 (2).jpg|IMG_9223.jpg|IMG_9378-R.jpg|IMG_9378-S.jpg|IMG_9379.jpg
ORGCB12-18K,YES,400,Orloff customized design/GCB12,NO,filename,suffix-dropped,6,yes,GCB12.jpg,004.jpg|GCB12.jpg|IMG_0163.jpg|IMG_0300.jpg|IMG_0451.jpg|IMG_9360.jpg
ORGCB175,YES,528,GCB175,yes,filename,exact,10,yes,GCB175.jpg,6 (2).jpg|6.jpg|GCB175-1.jpg|GCB175-2.jpg|GCB175-3.jpg|GCB175.jpg|IMG_23466 (2).jpg|IMG_23466.jpg|IMG_9230 (2).jpg|IMG_9230.jpg
ORGCB177,YES,527,GCB177,yes,filename,exact,10,yes,GCB177.jpg,5 (2).jpg|5.jpg|GCB177-1.jpg|GCB177-2.jpg|GCB177-3.jpg|GCB177.jpg|IMG_23465 (2).jpg|IMG_23465.jpg|IMG_9228 (2).jpg|IMG_9228.jpg
ORGCB18,YES,401,Orloff customized design/GCB18,yes,filename,exact,8,yes,GCB18.jpg,1.jpg|2.jpg|3.jpg|GCB18.jpg|IMG_0150.jpg|IMG_0327.jpg|IMG_0503.jpg|IMG_9284.jpg
ORGCB181,YES,548,GCB181,yes,foldername,exact,15,no,04-R.jpg,04-R.jpg|04-S.jpg|04.jpg|1.jpg|14-R.jpg|14-S.jpg|14.jpg|4-R.jpg|4-S.jpg|4.jpg|IMG_9474-S.jpg|IMG_9474.jpg|IMG_9539-R.jpg|IMG_9539-S.jpg|IMG_9539.jpg
ORGCB182-1,YES,531,GCB182-1,yes,foldername,exact,16,no,05-R.jpg,05-R.jpg|05-S.jpg|05.jpg|16-R.jpg|16-S.jpg|16.jpg|5-R.jpg|5-S.jpg|5.jpg|IMG_9481-S.jpg|IMG_9481.jpg|IMG_9512-S.jpg|IMG_9512.jpg|IMG_95431-R.jpg|IMG_95431-S.jpg|IMG_95431.jpg
