row_no,model_no,material,metal_finish,stone,size,weight_g,qty,unit_price_usd,total_price_usd,raw_desc
1,ORSE18,Sterling silver+AAA CZ,Metal: Rhodium plated,Main stone: White,15mmL*10mmW,3.9,10,5.36,53.60,Sterling silver+AAA CZ | Metal: Rhodium plated | Main stone: White | 15mmL*10mmW
2,ORSE19,Sterling silver+AAA CZ,Metal: Rhodium plated,Main stone: White,18mmD*3mmW,4.40,14,6.67,93.38,Sterling silver+AAA CZ | Metal: Rhodium plated | Main stone: White | 18mmD*3mmW
3,ORSE22,Sterling silver+AAA CZ,Metal: Rhodium plated,Main stone: White,12mmL*7mmW,4.56,11,8.97,98.67,Sterling silver+AAA CZ | Metal: Rhodium plated | Main stone: White | 12mmL*7mmW
4,ORSE42,Sterling silver+AAA CZ,Metal: Rhodium plated,Main stone: White,29mmL,5.70,15,11.59,173.85,Sterling silver+AAA CZ | Metal: Rhodium plated | Main stone: White | 29mmL
5,ORSE46,Sterling silver+AAA CZ,Metal: Rhodium plated,Main stone: white,23mmL*16mmD,5.90,13,14.22,184.86,Sterling silver+AAA CZ | Metal: Rhodium plated | Main stone: white | 23mmL*16mmD
6,ORSE71-L,Sterling silver+AAA CZ,Metal: Rhodium plated,Main stone: Blue,10mmD,1.10,12,3.17,38.04,Sterling silver+AAA CZ | Metal: Rhodium plated | Main stone: Blue | 10mmD
7,ORSE71-R,Sterling silver+AAA CZ,Metal: Rhodium plated,Main stone: Red,10mmD,1.10,13,3.06,39.78,Sterling silver+AAA CZ | Metal: Rhodium plated | Main stone: Red | 10mmD
8,ORSE71-W,Sterling silver+AAA CZ,Metal: Rhodium plated,Main stone: white,10mmD,1.10,12,3.06,36.72,Sterling silver+AAA CZ | Metal: Rhodium plated | Main stone: white | 10mmD
9,ORSE76,Sterling silver+AAA CZ,Metal: Rhodium plated,Main stone: White,15mmD,2.30,15,4.92,73.80,Sterling silver+AAA CZ | Metal: Rhodium plated | Main stone: White | 15mmD
10,ORSE84,Sterling silver+AAA CZ,Metal: Rhodium plated,Main stone: White,6mmD,1.40,22,2.84,62.48,Sterling silver+AAA CZ | Metal: Rhodium plated | Main stone: White | 6mmD
11,ORSE102,925 Sterling Silver+AAA CZ,Plaing:Rhodium Plated,Stonewhite,10mmH,2.20,24,3.97,95.28,925 Sterling Silver+AAA CZ | Plaing:Rhodium Plated | Stonewhite | 10mmH
12,ORSE103,925 Sterling Silver+AAA CZ,Plaing:Rhodium Plated,Stonewhite,10mmH,2.00,11,3.61,39.71,925 Sterling Silver+AAA CZ | Plaing:Rhodium Plated | Stonewhite | 10mmH
13,ORSE114,925 Sterling Silver+AAA CZ,Plaing:Rhodium Plated,Stonewhite,10mmL,1.60,15,3.28,49.20,925 Sterling Silver+AAA CZ | Plaing:Rhodium Plated | Stonewhite | 10mmL
14,ORSE266,Sterling Silver + AAAA CZ,,Main stone: White,20mmH,2.10,9,3.35,30.15,Sterling Silver + AAAA CZ | Rhodium Plated | Main stone: White | 20mmH
15,ORSN04,Sterling silver,Metal: Rhodium plated,Main stone: NA,Chain:45cm/5mmD,1.60,15,4.16,62.40,Sterling silver | Metal: Rhodium plated | Main stone: NA | Chain:45cm/5mmD
16,ORSN38,Sterling silver+AAA CZ,Metal: Rhodium plated,Main stone: White,Chain:45cm/Pendent:10.5mmH,2.00,15,5.10,76.50,Sterling silver+AAA CZ | Metal: Rhodium plated | Main stone: White | Chain:45cm/Pendent:10.5mmH
17,ORSN40,Sterling silver+AAA CZ,Metal: Rhodium plated,Main stone: White,Chain:45cm/Pendent:15.5mmH,2.60,15,5.43,81.45,Sterling silver+AAA CZ | Metal: Rhodium plated | Main stone: White | Chain:45cm/Pendent:15.5mmH
18,ORSN41,Sterling silver+AAA CZ,Metal: Rhodium plated,Main stone: White,Chain:45cm/Pendent:14.2mmH,3.60,15,5.64,84.60,Sterling silver+AAA CZ | Metal: Rhodium plated | Main stone: White | Chain:45cm/Pendent:14.2mmH
19,ORSN43,Sterling silver+AAA CZ,Metal: Rhodium plated,Main stone: White,Chain:45cm/Pendent:12mmD,3.1,15,6.41,96.15,Sterling silver+AAA CZ | Metal: Rhodium plated | Main stone: White | Chain:45cm/Pendent:12mmD
20,ORSN44,Sterling silver+AAA CZ,Metal: Rhodium plated,Main stone: White,Chain:45cm/Pendent:13mmH,3.1,12,5.86,70.32,Sterling silver+AAA CZ | Metal: Rhodium plated | Main stone: White | Chain:45cm/Pendent:13mmH
21,ORSN60,Sterling silver+AAA CZ,Metal: Rhodium plated,Main stone: White,Chain:45cm/22mmL*14mmW,3.8,15,7.81,117.15,Sterling silver+AAA CZ | Metal: Rhodium plated | Main stone: White | Chain:45cm/22mmL*14mmW
22,ORSN89-P,Sterling silver+AAA CZ,Metal: Rhodium plated,Main stone: White,15mmL/Chain:46cm,2.4,11,6.08,66.88,Sterling silver+AAA CZ | Metal: Rhodium plated | Main stone: White | 15mmL/Chain:46cm
23,ORSN174-P,Sterling silver+AAAA CZ,Metal: Rhodium plated,Main stone: White,,2.4,15,6.62,99.30,Sterling silver+AAAA CZ | Metal: Rhodium plated | Main stone: White
24,ORSME13,925 Sterling Silver +Genuine,Metal: Rhodium Plated,Swarovski Crystal+AAAA CZ,60mm/2.36inch,2.60,2,7.69,15.38,925 Sterling Silver +Genuine | Swarovski Crystal+AAAA CZ | Metal: Rhodium Plated | Stone: Blue | 60mm/2.36inch
25,ORSWB07,925 Sterling Silver +Genuine,Metal: Rhodium Plated,Swarovski Crystal,15cm/5.9inch,4.40,4,15.21,60.84,925 Sterling Silver +Genuine | Swarovski Crystal | Metal: Rhodium Plated | Stone: Red | 15cm/5.9inch
