page	seq_on_page	y	obj	file	width	height
1	1	95.4	19	img_0001.jpg	624	715
1	2	216.8	21	img_0002.jpg	400	400
1	3	299.5	22	img_0003.jpg	400	400
1	4	384.6	23	img_0004.jpg	400	400
1	5	468.6	24	img_0005.jpg	846	882
1	6	551.3	25	img_0006.jpg	1001	1001
1	7	619.7	26	img_0007.jpg	1001	1001
1	8	702.7	27	img_0008.jpg	1001	1001
1	9	781.9	28	img_0009.jpg	1001	1001
2	1	75.2	36	img_0010.jpg	1001	1001
2	2	144.8	37	img_0011.jpg	926	401
2	3	250.2	38	img_0012.jpg	1001	1001
2	4	321.7	39	img_0013.jpg	1001	1001
2	5	415.4	40	img_0014.jpg	1001	1001
2	6	498.1	41	img_0015.jpg	800	800
2	7	568.3	42	img_0016.jpg	400	400
2	8	648.6	43	img_0017.jpg	400	400
2	9	731.8	44	img_0018.jpg	400	400
2	10	817.8	45	img_0019.jpg	400	400
3	1	89.4	48	img_0020.jpg	1001	1001
3	2	167.8	49	img_0021.jpg	1001	1001
3	3	252.2	50	img_0022.jpg	1001	1001
3	4	329.2	51	img_0023.jpg	1001	1001
3	5	412.1	52	img_0024.jpg	454	540
3	6	499.7	54	img_0026.jpg	800	800
3	7	589.2	53	img_0025.jpg	800	800
3	8	685.1	55	img_0027.jpg	800	800
3	9	781.3	56	img_0028.jpg	800	800
4	1	91.1	59	img_0029.jpg	800	800
4	2	183.2	60	img_0030.jpg	800	800
4	3	268.6	61	img_0031.jpg	800	800
4	4	361.3	62	img_0032.jpg	800	800
4	5	450.7	63	img_0033.jpg	800	800
4	6	546.4	64	img_0034.jpg	800	800
4	7	639.8	65	img_0035.jpg	800	800
4	8	735.2	66	img_0036.jpg	800	800
5	1	91.4	69	img_0037.jpg	800	800
5	2	191.3	70	img_0038.jpg	800	800
5	3	296.4	71	img_0039.jpg	800	800
5	4	401.5	72	img_0040.jpg	800	800
5	5	496.7	73	img_0041.jpg	800	800
5	6	592.0	74	img_0042.jpg	800	800
5	7	686.3	75	img_0043.jpg	800	800
5	8	778.3	76	img_0044.jpg	800	800
6	1	90.0	79	img_0045.jpg	800	800
6	2	173.6	80	img_0046.jpg	800	800
6	3	257.2	81	img_0047.jpg	800	800
6	4	349.9	82	img_0048.jpg	800	800
6	5	438.6	83	img_0049.jpg	800	800
6	6	508.7	84	img_0050.jpg	481	531
6	7	590.6	87	img_0053.jpg	715	699
6	8	660.4	85	img_0051.jpg	486	358
6	9	734.9	88	img_0054.jpg	507	515
6	10	816.0	86	img_0052.jpg	557	525
7	1	73.2	93	img_0057.jpg	562	377
7	2	163.8	94	img_0058.jpg	472	424
7	3	244.3	91	img_0055.jpg	493	554
7	4	331.8	100	img_0064.jpg	522	652
7	5	404.6	92	img_0056.jpg	600	426
7	6	492.1	95	img_0059.jpg	505	488
7	7	574.8	96	img_0060.jpg	574	496
7	8	651.4	97	img_0061.jpg	574	481
7	9	736.0	98	img_0062.jpg	538	463
7	10	811.3	99	img_0063.jpg	713	769
8	1	89.9	105	img_0067.jpg	496	598
8	2	172.6	106	img_0068.jpg	607	365
8	3	268.8	107	img_0069.jpg	621	382
8	4	368.9	108	img_0070.jpg	316	306
8	5	472.4	109	img_0071.jpg	314	316
8	6	580.8	110	img_0072.jpg	561	614
8	7	678.0	111	img_0073.jpg	526	569
8	8	769.9	103	img_0065.jpg	1001	1001
8	9	842.6	104	img_0066.jpg	1001	1001
9	1	74.2	104	img_0066.jpg	1001	1001
9	2	88.1	104	img_0066.jpg	1001	1001
9	3	177.1	115	img_0075.jpg	669	631
9	4	272.2	115	img_0075.jpg	669	631
9	5	363.2	116	img_0076.jpg	643	606
9	6	447.5	116	img_0076.jpg	643	606
9	7	534.1	114	img_0074.jpg	800	800
9	8	617.2	114	img_0074.jpg	800	800
9	9	698.3	114	img_0074.jpg	800	800
9	10	781.0	114	img_0074.jpg	800	800
10	1	87.0	126	img_0084.jpg	753	608
10	2	170.2	126	img_0084.jpg	753	608
10	3	250.9	127	img_0085.jpg	732	558
10	4	332.0	127	img_0085.jpg	732	558
10	5	419.0	119	img_0077.jpg	668	669
10	6	501.7	120	img_0078.jpg	534	526
10	7	582.7	121	img_0079.jpg	551	493
10	8	664.3	122	img_0080.jpg	483	440
10	9	746.4	123	img_0081.jpg	430	554
10	10	829.0	124	img_0082.jpg	414	491
10	11	911.0	125	img_0083.jpg	444	469
11	1	90.2	125	img_0083.jpg	444	469
11	2	171.2	130	img_0086.jpg	381	552
11	3	254.5	131	img_0087.jpg	374	490
11	4	337.6	132	img_0088.jpg	376	588
11	5	417.2	133	img_0089.jpg	441	483
11	6	501.8	134	img_0090.jpg	345	598
11	7	587.8	135	img_0091.jpg	315	559
11	8	682.7	136	img_0092.jpg	382	524
11	9	787.1	137	img_0093.jpg	270	529
11	10	872.5	138	img_0094.jpg	403	421
12	1	88.7	138	img_0094.jpg	403	421
12	2	171.6	141	img_0095.jpg	452	415
12	3	254.5	142	img_0096.jpg	396	391
12	4	332.3	143	img_0097.jpg	340	548
12	5	429.4	144	img_0098.jpg	347	560
12	6	519.8	145	img_0099.jpg	422	371
12	7	614.5	146	img_0100.jpg	325	479
12	8	713.5	147	img_0101.jpg	463	449
12	9	795.8	148	img_0102.jpg	336	378
12	10	876.1	149	img_0103.jpg	387	461
13	1	89.4	149	img_0103.jpg	387	461
13	2	171.7	152	img_0104.jpg	368	474
13	3	269.2	153	img_0105.jpg	472	458
13	4	367.0	154	img_0106.jpg	492	438
13	5	455.6	155	img_0107.jpg	605	604
13	6	543.0	156	img_0108.jpg	718	716
13	7	631.3	157	img_0109.jpg	636	661
13	8	716.4	158	img_0110.jpg	625	619
13	9	803.5	159	img_0111.jpg	723	655
14	1	83.3	162	img_0112.jpg	703	710
14	2	179.4	163	img_0113.jpg	588	611
14	3	268.4	164	img_0114.jpg	623	640
14	4	364.8	165	img_0115.jpg	581	584
14	5	451.1	166	img_0116.jpg	603	611
14	6	529.7	167	img_0117.jpg	498	541
14	7	613.9	168	img_0118.jpg	581	614
14	8	701.3	169	img_0119.jpg	547	606
14	9	792.5	170	img_0120.jpg	527	591
15	1	83.3	173	img_0121.jpg	621	630
15	2	186.6	174	img_0122.jpg	581	595
15	3	281.6	175	img_0123.jpg	729	706
15	4	366.1	176	img_0124.jpg	588	554
15	5	446.8	177	img_0125.jpg	499	552
15	6	526.1	178	img_0126.jpg	526	605
15	7	614.2	179	img_0127.jpg	600	589
15	8	694.3	180	img_0128.jpg	800	800
15	9	767.2	181	img_0129.jpg	800	800
16	1	82.9	184	img_0130.jpg	800	800
16	2	168.7	185	img_0131.jpg	800	800
16	3	251.9	186	img_0132.jpg	800	800
16	4	330.1	187	img_0133.jpg	800	800
16	5	410.4	188	img_0134.jpg	800	800
16	6	489.8	189	img_0135.jpg	800	800
16	7	569.2	191	img_0137.jpg	800	800
16	8	644.4	190	img_0136.jpg	800	800
16	9	718.8	192	img_0138.jpg	800	800
16	10	798.6	193	img_0139.jpg	800	800
17	1	88.6	196	img_0140.jpg	800	800
17	2	171.5	197	img_0141.jpg	800	800
17	3	251.6	198	img_0142.jpg	800	800
17	4	334.0	199	img_0143.jpg	800	800
17	5	411.2	200	img_0144.jpg	800	800
17	6	486.2	201	img_0145.jpg	800	800
17	7	557.3	202	img_0146.jpg	800	800
17	8	638.4	203	img_0147.jpg	800	800
17	9	722.8	204	img_0148.jpg	800	800
17	10	800.0	205	img_0149.jpg	800	800
18	1	81.8	208	img_0150.jpg	800	800
18	2	172.8	209	img_0151.jpg	800	800
18	3	246.1	210	img_0152.jpg	800	800
18	4	329.4	211	img_0153.jpg	800	800
18	5	406.4	212	img_0154.jpg	800	800
18	6	481.3	213	img_0155.jpg	800	800
18	7	559.2	214	img_0156.jpg	800	800
18	8	640.9	215	img_0157.jpg	800	800
18	9	724.2	216	img_0158.jpg	800	800
18	10	804.0	217	img_0159.jpg	800	800
19	1	88.4	220	img_0160.jpg	800	800
19	2	161.0	221	img_0161.jpg	800	800
