invoice_row,model_no,sku,handle,product_name,line,type,category,price_tier,retail_thb,cost_usd,weight_g,size_mm,material,metal_finish,stone,stock_qty,description_html,image_url_1,seo_title,seo_description,quote_text,notes
85,ORCB01,ORCB01,,,A,Charm,,,,3.75,1.55,14.5mm * 7mm,925 Sterling Silver,Oxidized Silver,Black CZ + Blue Enamel,10,,,,,,Needs photography for visual identification before naming
86,ORCB02,ORCB02,,,A,Charm,,,,3.84,1.69,12mm,925 Sterling Silver,Oxidized Silver,Orange+Black+ Blue Enamel,10,,,,,,Needs photography for visual identification before naming
87,ORCB03,ORCB03,,,A,Charm,,,,4.03,2,13mm,925 Sterling Silver,Oxidized Silver,Black+ Red Enamel,10,,,,,,Needs photography for visual identification before naming
88,ORCB04,ORCB04,,,A,Charm,,,,4.38,2.79,11.5mm,925 Sterling Silver,Oxidized Silver,White+ Red Enamel,10,,,,,,Needs photography for visual identification before naming
89,ORCB05,ORCB05,,,A,Charm,,,,5.12,2.84,13mm,925 Sterling Silver,Oxidized Silver,Black Enamel,10,,,,,,Needs photography for visual identification before naming
90,ORCB06,ORCB06,,,A,Charm,,,,4.15,1.79,12mm,925 Sterling Silver,Rosegold plated,White Enamel,10,,,,,,Needs photography for visual identification before naming
91,ORCB07,ORCB07,,,A,Charm,,,,2.92,1.18,8mm,925 Sterling Silver,Oxidized Silver,,10,,,,,,Needs photography for visual identification before naming
92,ORCB08,ORCB08,,,A,Charm,,,,4.05,1.77,13.5mm,925 Sterling Silver,Oxidized Silver,Black+ Pink Enamel,10,,,,,,Needs photography for visual identification before naming
93,ORCB09,ORCB09,,,A,Charm,,,,4.42,2.06,12.5mm,925 Sterling Silver,Oxidized Silver,White CZ+Black Enamel,10,,,,,,Needs photography for visual identification before naming
94,ORCB10,ORCB10,,,A,Charm,,,,4.76,2.63,21mm,925 Sterling Silver,Oxidized Silver,Stone :None,10,,,,,,Needs photography for visual identification before naming
95,ORCB11,ORCB11,,,A,Charm,,,,5.24,2.62,12.5mm,925 Sterling Silver,Oxidized Silver,Black+ Red Enamel,10,,,,,,Needs photography for visual identification before naming
96,ORCB12,ORCB12,,,A,Charm,,,,3.54,1.49,21.5mm,925 Sterling Silver,Oxidized Silver,White CZ,10,,,,,,Needs photography for visual identification before naming
97,ORCB13,ORCB13,,,A,Charm,,,,3.30,1.45,20mm,925 Sterling Silver,Oxidized Silver,White CZ,9,,,,,,Needs photography for visual identification before naming
