"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Google Shopping / Google Product Category","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / MPN","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item","Included / Thailand","Price / Thailand","Compare At Price / Thailand","Included / International","Price / International","Compare At Price / International","Status"
"love-charm-red-enamel","Love Charm, Red Enamel","<p style=""font-family: Inter, sans-serif;"">Chinese character ai in red enamel with the word Love beneath. Confirms the handoff's reading: this is the red sibling of ORGCB56-B (black) and ORGCB56-L (blue). SKU written in canonical OR form though the invoice prints GCB56-R.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Rhodium Plated, Red Enamel<br>
<strong>Size:</strong> 17 x 12 x 2mm<br>
<strong>Weight:</strong> 4.00g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Milestones & Sentiment, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORGCB56-R","4","shopify","27","deny","manual","49","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORGCB56-R.jpg","1","Love Charm, Red Enamel","FALSE","Love Charm, Red Enamel | Orloff of Denmark","Chinese character ai in red enamel with the word Love beneath.","","","","","","","","","","","","","","","g","","7.57","","","","","","","draft"
"whale-charm","Whale Charm","<p style=""font-family: Inter, sans-serif;"">Blue enamel body, silver belly and tail, black stone eye.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> Black CZ + Blue Enamel<br>
<strong>Size:</strong> 14.5mm x 7mm<br>
<strong>Weight:</strong> 1.55g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Animals, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB01","2","shopify","10","deny","manual","29","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB01.jpg","1","Whale Charm","FALSE","Whale Charm | Orloff of Denmark","Blue enamel body, silver belly and tail, black stone eye.","","","","","","","","","","","","","","","g","","3.75","","","","","","","draft"
"turtle-charm","Turtle Charm","<p style=""font-family: Inter, sans-serif;"">Yellow enamel shell with blue spots, black enamel feet.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> Orange+Black+ Blue Enamel<br>
<strong>Size:</strong> 12mm<br>
<strong>Weight:</strong> 1.69g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Animals, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB02","2","shopify","10","deny","manual","29","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB02.jpg","1","Turtle Charm","FALSE","Turtle Charm | Orloff of Denmark","Yellow enamel shell with blue spots, black enamel feet.","","","","","","","","","","","","","","","g","","3.84","","","","","","","draft"
"elephant-charm","Elephant Charm","<p style=""font-family: Inter, sans-serif;"">Polished silver with a red enamel tip to the raised trunk.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> Black+ Red Enamel<br>
<strong>Size:</strong> 13mm<br>
<strong>Weight:</strong> 2g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Animals, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB03","2","shopify","10","deny","manual","29","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB03.jpg","1","Elephant Charm","FALSE","Elephant Charm | Orloff of Denmark","Polished silver with a red enamel tip to the raised trunk.","","","","","","","","","","","","","","","g","","4.03","","","","","","","draft"
"unicorn-charm","Unicorn Charm","<p style=""font-family: Inter, sans-serif;"">Winged unicorn dangle in polished silver, black enamel eye.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> Black Enamel<br>
<strong>Size:</strong> 13mm<br>
<strong>Weight:</strong> 2.84g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Animals, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB05","3","shopify","10","deny","manual","39","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB05.jpg","1","Unicorn Charm","FALSE","Unicorn Charm | Orloff of Denmark","Winged unicorn dangle in polished silver, black enamel eye.","","","","","","","","","","","","","","","g","","5.12","","","","","","","draft"
"fox-charm-rose-gold","Fox Charm, Rose Gold","<p style=""font-family: Inter, sans-serif;"">Rose gold plated with a white enamel face. Could be a cat.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Rosegold Plated<br>
<strong>Stone:</strong> White Enamel<br>
<strong>Size:</strong> 12mm<br>
<strong>Weight:</strong> 1.79g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Animals, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB06","2","shopify","10","deny","manual","29","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB06.jpg","1","Fox Charm, Rose Gold","FALSE","Fox Charm, Rose Gold | Orloff of Denmark","Rose gold plated with a white enamel face.","","","","","","","","","","","","","","","g","","4.15","","","","","","","draft"
"hippo-charm","Hippo Charm","<p style=""font-family: Inter, sans-serif;"">Polished silver hippopotamus with oxidized detail.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Size:</strong> 8mm<br>
<strong>Weight:</strong> 1.18g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Animals, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB07","1","shopify","10","deny","manual","29","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB07.jpg","1","Hippo Charm","FALSE","Hippo Charm | Orloff of Denmark","Polished silver hippopotamus with oxidized detail.","","","","","","","","","","","","","","","g","","2.92","","","","","","","draft"
"rabbit-charm","Rabbit Charm","<p style=""font-family: Inter, sans-serif;"">Seated rabbit in polished silver with pink enamel ears and paws.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> Black+ Pink Enamel<br>
<strong>Size:</strong> 13.5mm<br>
<strong>Weight:</strong> 1.77g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Animals, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB08","2","shopify","10","deny","manual","29","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB08.jpg","1","Rabbit Charm","FALSE","Rabbit Charm | Orloff of Denmark","Seated rabbit in polished silver with pink enamel ears and paws.","","","","","","","","","","","","","","","g","","4.05","","","","","","","draft"
"puppy-charm","Puppy Charm","<p style=""font-family: Inter, sans-serif;"">Seated long-eared dog with a star pendant set with a clear stone.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> White CZ+Black Enamel<br>
<strong>Size:</strong> 12.5mm<br>
<strong>Weight:</strong> 2.06g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Animals, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB09","2","shopify","10","deny","manual","29","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB09.jpg","1","Puppy Charm","FALSE","Puppy Charm | Orloff of Denmark","Seated long-eared dog with a star pendant set with a clear stone.","","","","","","","","","","","","","","","g","","4.42","","","","","","","draft"
"carousel-charm","Carousel Charm","<p style=""font-family: Inter, sans-serif;"">Oxidized silver merry-go-round with horses under a canopy.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> Stone :None<br>
<strong>Size:</strong> 21mm<br>
<strong>Weight:</strong> 2.63g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Travel & Lifestyle, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB10","3","shopify","10","deny","manual","39","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB10.jpg","1","Carousel Charm","FALSE","Carousel Charm | Orloff of Denmark","Oxidized silver merry-go-round with horses under a canopy.","","","","","","","","","","","","","","","g","","4.76","","","","","","","draft"
