"handle","oldStone","newStone","newEnamel","oldFinish","newFinish"
"whale-charm","Black CZ + Blue Enamel","Black CZ &amp; Blue Enamel","","Oxidized Silver","Oxidized Silver"
"turtle-charm","Orange+Black+ Blue Enamel","Orange, Black &amp; Blue Enamel","","Oxidized Silver","Oxidized Silver"
"elephant-charm","Black+ Red Enamel","Black &amp; Red Enamel","","Oxidized Silver","Oxidized Silver"
"fox-charm-rose-gold","White Enamel","White Enamel","","Rosegold Plated","Rose Gold Plated"
"rabbit-charm","Black+ Pink Enamel","Black &amp; Pink Enamel","","Oxidized Silver","Oxidized Silver"
"puppy-charm","White CZ+Black Enamel","White CZ &amp; Black Enamel","","Oxidized Silver","Oxidized Silver"
"star-pave-charm-purple","Stone: White+Purple","White &amp; Purple","","Rhodium Plated","Rhodium Plated"
"sweet-wrapper-charm","Stone: Muti-color","Multicolour","","Rhodium Plated","Rhodium Plated"
"star-charm-purple-centre","Stone: White+Purple","White &amp; Purple","","Rhodium Plated","Rhodium Plated"
"rainbow-egg-charm","Stone: Muti-color","Multicolour","","Rhodium Plated","Rhodium Plated"
"ribbon-bow-charm-red-heart","Stone: White+Red","White &amp; Red","","Rhodium Plated","Rhodium Plated"
"angel-charm-pink-heart","Stone: White+Pink","White &amp; Pink","","Rhodium Plated","Rhodium Plated"
"graduation-owl-charm","Stone: White+Blue","White &amp; Blue","","Rhodium Plated","Rhodium Plated"
"birthday-balloon-charm","Black+ Red Enamel","Black &amp; Red Enamel","","Oxidized Silver","Oxidized Silver"
"princess-charm","Stone: Pink","Pink","","Rhodium Plated","Rhodium Plated"
"butterfly-charm-turquoise-spots","Stone: White","White","","Rhodium Plated","Rhodium Plated"
"mom-heart-charm","Stone: Pink","Pink","","Rhodium Plated","Rhodium Plated"
"heart-padlock-charm-blue","Stone: Blue","Blue","","Rhodium Plated","Rhodium Plated"
"frangipani-charm-yellow","CZ+Enamel","White","","Rhodium Plated","Rhodium Plated"
"dreamcatcher-charm-rainbow","Stone: Muti-color","Multicolour","","Rhodium Plated","Rhodium Plated"
"angel-wing-charm","Stone: White","White","","Rhodium Plated","Rhodium Plated"
"witch-hat-charm-rose-gold","Stone: Black","Black","","Rose Gold Plated","Rose Gold Plated"
"clover-charm-purple","Stone: Purple","Purple","","Rhodium Plated","Rhodium Plated"
"basketball-charm","Stone: White","White","","Rhodium Plated","Rhodium Plated"
"cactus-charm","Stone: Green","Green","","Rhodium Plated","Rhodium Plated"
"ladybird-charm","CZ+Enamel","Yellow","","Rhodium Plated","Rhodium Plated"
"two-cats-and-moon-charm","Stone: Blue","Blue","","Rhodium Plated","Rhodium Plated"
"camera-charm-pink","CZ+Enamel","White","","Rhodium Plated","Rhodium Plated"
"elephant-charm-pink-and-green","Stone: Muti-color","Multicolour","","Rhodium Plated","Rhodium Plated"
"sunflower-charm","Stone: Yellow+Green","Yellow &amp; Green","","Rhodium Plated","Rhodium Plated"
"couple-in-a-boat-charm","White CZ+Red &Blue Enamel","White CZ, Red &amp; Blue Enamel","","Oxidized Silver","Oxidized Silver"
"daisy-charm-gold-and-white","CZ+Enamel","White &amp; Yellow","","14K Gold Plated","14K Gold Plated"
"ships-wheel-charm","Stone: White","White","","Rhodium Plated","Rhodium Plated"
"sunflower-charm-gold","Stone: White","White","","Rhodium Plated","Rhodium Plated"
"stars-and-moon-charm-blue","Stone: Blue","Blue","","Rhodium Plated","Rhodium Plated"
"flower-heart-charm","Pink CZ & White CZ + Green Enamel","Pink CZ, White CZ &amp; Green Enamel","","Oxidized Silver","Oxidized Silver"
"cocktail-charm","Green & Pink Enamel","Green &amp; Pink Enamel","","Oxidized Silver","Oxidized Silver"
"heartbeat-charm","White CZ & Red Enamel","White CZ &amp; Red Enamel","","Oxidized Silver","Oxidized Silver"
"gondola-charm","Blue+ Pink Enamel","Blue &amp; Pink Enamel","","Oxidized Silver","Oxidized Silver"
"gift-box-charm","Red & Pink Enamel","Red &amp; Pink Enamel","","Oxidized Silver","Oxidized Silver"
"hot-air-balloon-charm","Pink & White CZ + Green & Pink &","Pink &amp; White CZ, Green, Pink, Yellow &amp; Blue Enamel","","Oxidized Silver","Oxidized Silver"
"ice-lolly-charm","Milky Pink & Brown Enamel","Milky Pink &amp; Brown Enamel","","Oxidized Silver","Oxidized Silver"
"carrot-charm","Green & Orange Enamel","Green &amp; Orange Enamel","","Oxidized Silver","Oxidized Silver"
"cow-charm","Black & Red Enamel","Black &amp; Red Enamel","","Oxidized Silver","Oxidized Silver"
"sisters-charm","Blue+ Pink Enamel","Blue &amp; Pink Enamel","","Oxidized Silver","Oxidized Silver"
"police-box-charm","White & Blue CZ","White &amp; Blue CZ","","Oxidized Silver","Oxidized Silver"
"umbrella-charm","Green & Yellow & Pink & Purple CZ","Green, Yellow, Pink &amp; Purple CZ","","Oxidized Silver","Oxidized Silver"
"ice-cream-cart-charm","Green & Orange Enamel","Green &amp; Orange Enamel","","Oxidized Silver","Oxidized Silver"
