"SKU","Parent Product SKU","Product Name","Category","Price Type","Unit","Tax-Inclusive Price","Min Price","Max Price","Cost","Supplier Price","Product Tags","Inventory Type","Track Stock Levels","Barcode","Variant Name 1","Variant Value 1","Variant Name 2","Variant Value 2","Variant Name 3","Variant Value 3","Supplier","Tax Name","Store Credits","Kitchen Station","ORLOFF OF DENMARK (BLUPORT)_Quantity","ORLOFF OF DENMARK (BLUPORT)_Warning Stock Level","ORLOFF OF DENMARK (BLUPORT)_Ideal Stock Level","Online Price","Online Discounted Price","Product Description"
"ORGCB56-R","","Love Charm, Red Enamel","Milestones & Sentiment","Fixed","","1600","","","257.38","","Milestones & Sentiment;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","27","2","","1600","","Chinese character ai in red enamel with the word Love beneath. Confirms the handoff's reading: this is the red sibling of ORGCB56-B (black) and ORGCB56-L (blue). SKU written in canonical OR form though the invoice prints GCB56-R.

Material: 925 Sterling Silver

Finish: Rhodium Plated, Red Enamel

Size: 17 x 12 x 2mm

Weight: 4.00g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB01","","Whale Charm","Animals","Fixed","","900","","","127.50","","Animals;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","10","2","","900","","Blue enamel body, silver belly and tail, black stone eye.

Material: 925 Sterling Silver

Finish: Oxidized Silver

Stone: Black CZ + Blue Enamel

Size: 14.5mm x 7mm

Weight: 1.55g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB02","","Turtle Charm","Animals","Fixed","","900","","","130.56","","Animals;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","10","2","","900","","Yellow enamel shell with blue spots, black enamel feet.

Material: 925 Sterling Silver

Finish: Oxidized Silver

Stone: Orange+Black+ Blue Enamel

Size: 12mm

Weight: 1.69g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB03","","Elephant Charm","Animals","Fixed","","900","","","137.02","","Animals;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","10","2","","900","","Polished silver with a red enamel tip to the raised trunk.

Material: 925 Sterling Silver

Finish: Oxidized Silver

Stone: Black+ Red Enamel

Size: 13mm

Weight: 2g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB05","","Unicorn Charm","Animals","Fixed","","1200","","","174.08","","Animals;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","10","2","","1200","","Winged unicorn dangle in polished silver, black enamel eye.

Material: 925 Sterling Silver

Finish: Oxidized Silver

Stone: Black Enamel

Size: 13mm

Weight: 2.84g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB06","","Fox Charm, Rose Gold","Animals","Fixed","","900","","","141.10","","Animals;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","10","2","","900","","Rose gold plated with a white enamel face. Could be a cat.

Material: 925 Sterling Silver

Finish: Rosegold Plated

Stone: White Enamel

Size: 12mm

Weight: 1.79g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB07","","Hippo Charm","Animals","Fixed","","900","","","99.28","","Animals;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","10","2","","900","","Polished silver hippopotamus with oxidized detail.

Material: 925 Sterling Silver

Finish: Oxidized Silver

Size: 8mm

Weight: 1.18g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB08","","Rabbit Charm","Animals","Fixed","","900","","","137.70","","Animals;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","10","2","","900","","Seated rabbit in polished silver with pink enamel ears and paws.

Material: 925 Sterling Silver

Finish: Oxidized Silver

Stone: Black+ Pink Enamel

Size: 13.5mm

Weight: 1.77g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB09","","Puppy Charm","Animals","Fixed","","900","","","150.28","","Animals;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","10","2","","900","","Seated long-eared dog with a star pendant set with a clear stone.

Material: 925 Sterling Silver

Finish: Oxidized Silver

Stone: White CZ+Black Enamel

Size: 12.5mm

Weight: 2.06g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB10","","Carousel Charm","Travel & Lifestyle","Fixed","","1200","","","161.84","","Travel & Lifestyle;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","10","2","","1200","","Oxidized silver merry-go-round with horses under a canopy.

Material: 925 Sterling Silver

Finish: Oxidized Silver

Stone: Stone :None

Size: 21mm

Weight: 2.63g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
