sku,invoice_qty,unit_cost_usd,shopify_qty,shopify_status,product_type,title
ORCB01,10,3.75,10,ACTIVE,Charm,Whale Charm
ORCB02,10,3.84,10,ACTIVE,Charm,Turtle Charm
ORCB03,10,4.03,10,ACTIVE,Charm,Elephant Charm
ORCB05,10,5.12,10,ACTIVE,Charm,Unicorn Charm
ORCB06,10,4.15,10,ACTIVE,Charm,"Fox Charm, Rose Gold"
ORCB07,10,2.92,10,ACTIVE,Charm,Hippo Charm
ORCB08,10,4.05,10,ACTIVE,Charm,Rabbit Charm
ORCB09,10,4.42,10,ACTIVE,Charm,Puppy Charm
ORCB10,10,4.76,10,ACTIVE,Charm,Carousel Charm
ORCB11,10,5.24,10,ACTIVE,Charm,Birthday Balloon Charm
ORCB12,10,3.54,10,ACTIVE,Charm,Boy Charm
ORCB13,9,3.30,9,ACTIVE,Charm,Girl Charm
ORCB14,9,3.77,9,ACTIVE,Charm,Couple in a Boat Charm
ORCB15,10,3.50,10,ACTIVE,Charm,Footballer Charm
ORCB16,10,3.72,10,ACTIVE,Charm,Gondola Charm
ORCB17,10,5.48,10,ACTIVE,Charm,Sisters Charm
ORCB18,9,5.10,9,ACTIVE,Charm,Folk Costume Couple Charm
ORCB20,10,3.28,10,ACTIVE,Charm,Easter Basket Charm
ORCB21,10,2.87,10,ACTIVE,Charm,Palm Tree Charm
ORCB22,10,4.59,10,ACTIVE,Charm,Daisy Heart Charm
ORCB23,10,3.52,10,ACTIVE,Charm,Daisy Heart Dangle
ORCB25,10,4.07,10,ACTIVE,Charm,Christmas Sleigh Charm
ORCB26,10,3.93,10,ACTIVE,Charm,Coffee Cup Charm
ORCB27,10,4.99,10,ACTIVE,Charm,Cupcake Charm
ORCB28,10,2.76,10,ACTIVE,Charm,Champagne Toast Charm
ORCB29,10,3.59,10,ACTIVE,Charm,Engagement Ring Charm
ORCB30,10,6.69,10,ACTIVE,Charm,Baby Pram Charm
ORCB34,10,5.03,10,ACTIVE,Charm,"Openwork Hearts Charm, Pink"
ORCB35,10,4.59,10,ACTIVE,Charm,Four Leaf Clover Charm
ORCB36,10,7.22,10,ACTIVE,Charm,"Crystal Cluster Charm, Blue"
ORCB37,10,3.94,10,ACTIVE,Charm,"Heart Charm, Light Blue Enamel"
ORCB38,10,4.92,10,ACTIVE,Charm,"Butterfly Charm, Light Blue"
ORCB39,10,5.36,10,ACTIVE,Charm,"Primrose Charm, Light Blue"
ORCB40,10,4.27,10,ACTIVE,Charm,Red Rose Charm
ORCB41,9,5.58,9,ACTIVE,Charm,"Love Padlock Charm, Blue"
ORCB42,10,4.16,10,ACTIVE,Charm,"Butterfly Charm, Pink"
ORCB43,10,4.05,10,ACTIVE,Charm,"Cherry Blossom Charm, Pink"
ORCB44,10,4.92,10,ACTIVE,Charm,"Pave Heart Charm, Pink"
ORCB45,10,4.81,10,ACTIVE,Charm,"Daisy Charm, Pink"
