sku,qty,unit_cost_usd,total_cost_usd,weight_g,invoice_lines
ORSE18,10,5.36,53.60,3.9,1
ORSE19,14,6.67,93.38,4.40,2
ORSE22,11,8.97,98.67,4.56,3
ORSE42,15,11.59,173.85,5.70,4
ORSE46,13,14.22,184.86,5.90,5
ORSE71-L,12,3.17,38.04,1.10,6
ORSE71-R,13,3.06,39.78,1.10,7
ORSE71-W,12,3.06,36.72,1.10,8
ORSE76,15,4.92,73.80,2.30,9
ORSE84,22,2.84,62.48,1.40,10
ORSE102,24,3.97,95.28,2.20,11
ORSE103,22,3.75,82.61,2.00,12 + 268
ORSE114,15,3.28,49.20,1.60,13
ORSE266,9,3.35,30.15,2.10,14
ORSN04,15,4.16,62.40,1.60,15
ORSN38,15,5.10,76.50,2.00,16
ORSN40,15,5.43,81.45,2.60,17
ORSN41,15,5.64,84.60,3.60,18
ORSN43,15,6.41,96.15,3.1,19
ORSN44,12,5.86,70.32,3.1,20
ORSN60,15,7.81,117.15,3.8,21
ORSN89-P,11,6.08,66.88,2.4,22
ORSN174-P,15,6.62,99.30,2.4,23
ORSME13,2,7.69,15.38,2.60,24
ORSWB07,4,15.21,60.84,4.40,25
ORSWE07,17,8.86,150.62,3.80,26
ORSWE08,20,8.38,167.60,2.40,27
ORSWE09,20,7.37,147.40,2.9,28
ORSWE10,20,6.66,133.20,1.60,29
ORSWE11,15,4.77,71.55,1.7,30
ORSWE12,15,7.53,112.95,2.40,31
ORSWE14-B,15,6.84,102.60,2.1,32
ORSWE14-F,20,6.84,136.80,2.1,33
ORSWE15,15,5.48,82.20,2.30,34
ORSWE16,15,8.42,126.30,2.70,35
ORSWB04-F,20,12.44,248.80,4.50,36
ORSWB04-B,19,12.44,236.36,4.50,37
ORSWB05,15,12.23,183.45,4.50,38
ORSWB06-B,20,12.88,257.60,4.50,39
ORSWB06-F,20,12.88,257.60,4.50,40
ORSWB06-P,19,12.88,244.72,4.50,41
ORSWB08,21,10.79,226.59,2.9,42
ORSWN05-G,20,8.20,164.00,3.00,43
ORSWN05-P,20,8.20,164.00,3.50,44
ORSWN06-F,20,8.66,173.20,3.50,45
ORSWN06-B,18,8.66,155.88,3.50,46
ORSWN07,20,8.38,167.60,2.9,47
ORSWN08,20,8.16,163.20,2.8,48
ORSWE01-R,19,5.60,106.40,1.7,49
ORSWE02-P,20,4.17,83.40,0.90,50
ORSWE03-P,20,5.40,108.00,1.30,51
ORSWE04-P,20,5.07,101.40,0.80,52
ORSWE05-P,15,6.93,103.95,2.1,53
ORSWE06-B,19,4.29,81.51,1.2,54
ORSWE06-F,15,4.29,64.35,1.2,55
ORSWN01-P,20,7.53,150.60,2.20,56
ORSWN02-P,20,6.44,128.80,1.7,57
ORSWN03-P,18,7.63,137.34,2.50,58
ORSWN04-B,19,6.96,132.24,2.8,59
ORSWN04-F,20,6.96,139.20,2.8,60
ORSWN04-P,20,6.96,139.20,2.8,61
ORSWN04-G,20,6.96,139.20,2.8,62
ORSWB01-P,20,13.23,264.60,4.90,63
ORSWB02-P,20,7.08,141.60,2.30,64
ORSWB03-B,20,8.71,174.20,3.20,65
ORSWB03-F,20,8.71,174.20,3.20,66
ORSWE17-F,20,6.10,122.00,1.30,67
ORSWE17-B,20,6.10,122.00,1.30,68
ORSWN15,20,8.41,168.20,2.60,69
ORSWN16,19,8.30,157.70,3.10,70
ORSB42,20,8.52,170.40,3.35,71
ORSB43,20,7.71,154.20,3.41,72
ORSB61-16.5,20,9.41,188.20,4.23,73
ORSB61-18,19,9.84,186.96,4.45,74
ORSB62-16.5,19,11.05,209.95,4.05,75
ORSB62-18,19,11.38,216.22,4.11,76
"ORSB92-6.5""",19,10.61,201.59,5.90,77
