sku,product_name,category,price_thb,price_usd,quantity
ORCB01,Whale Charm,Charms,1200,29.00,10
ORCB02,Turtle Charm,Charms,1200,29.00,10
ORCB03,Elephant Charm,Charms,1200,29.00,10
ORCB04,ORCB04,Charms,1200,,10
ORCB05,Unicorn Charm,Charms,1200,39.00,10
ORCB06,"Fox Charm, Rose Gold",Charms,1200,29.00,10
ORCB07,Hippo Charm,Charms,1200,29.00,10
ORCB08,Rabbit Charm,Charms,1200,29.00,10
ORCB09,Puppy Charm,Charms,1200,29.00,10
ORCB10,Carousel Charm,Charms,1200,39.00,10
ORCB11,Birthday Balloon Charm,Charms,1200,39.00,10
ORCB12,Boy Charm,Charms,1200,29.00,10
ORCB13,Girl Charm,Charms,1200,29.00,9
ORCB14,Couple in a Boat Charm,Charms,1200,29.00,9
ORCB15,Footballer Charm,Charms,1200,29.00,10
ORCB16,Gondola Charm,Charms,1200,29.00,10
ORCB17,Sisters Charm,Charms,1200,39.00,10
ORCB18,Folk Costume Couple Charm,Charms,1200,39.00,9
ORCB20,Easter Basket Charm,Charms,1200,29.00,10
ORCB21,Palm Tree Charm,Charms,1200,29.00,10
ORCB22,Daisy Heart Charm,Charms,1200,39.00,10
ORCB23,Daisy Heart Dangle,Charms,1200,29.00,10
ORCB25,Christmas Sleigh Charm,Charms,1200,29.00,10
ORCB26,Coffee Cup Charm,Charms,1200,29.00,10
ORCB27,Cupcake Charm,Charms,1200,39.00,10
ORCB28,Champagne Toast Charm,Charms,1200,29.00,10
ORCB29,Engagement Ring Charm,Charms,1200,29.00,10
ORCB30,Baby Pram Charm,Charms,1200,49.00,10
ORCB34,"Openwork Hearts Charm, Pink",Charms,1200,39.00,10
ORCB35,Four Leaf Clover Charm,Charms,1200,39.00,10
ORCB36,"Crystal Cluster Charm, Blue",Charms,1200,49.00,10
ORCB37,"Heart Charm, Light Blue Enamel",Charms,1200,29.00,10
ORCB38,"Butterfly Charm, Light Blue",Charms,1200,39.00,10
ORCB39,"Primrose Charm, Light Blue",Charms,1200,39.00,10
ORCB40,Red Rose Charm,Charms,1200,29.00,10
ORCB41,"Love Padlock Charm, Blue",Charms,1200,39.00,9
ORCB42,"Butterfly Charm, Pink",Charms,1200,29.00,10
ORCB43,"Cherry Blossom Charm, Pink",Charms,1200,29.00,10
ORCB44,"Pave Heart Charm, Pink",Charms,1200,39.00,10
ORCB45,"Daisy Charm, Pink",Charms,1200,39.00,10
ORCB46,Sunglasses Charm,Charms,1200,39.00,10
ORCB47,Teddy Bear Charm,Charms,1200,29.00,10
ORCB48,"Baby Shoe Charm, Blue",Charms,1200,49.00,10
ORCB49,Linked Hearts Charm,Charms,1200,39.00,10
ORCB50,Dragonfly Crystal Charm,Charms,1200,39.00,10
ORCB51,Royal Carriage Charm,Charms,1200,49.00,10
ORCB52,Blossom and Butterfly Charm,Charms,1200,29.00,10
ORCB53,Angel Pearl Charm,Charms,1200,39.00,10
ORCB54,Devil Pearl Charm,Charms,1200,39.00,10
ORCB55,Dreamcatcher Charm,Charms,1200,39.00,10
ORCB56,Crown Charm,Charms,1200,39.00,10
ORCB58,Scissors and Comb Charm,Charms,1200,29.00,9
ORCB59,Takeaway Coffee Charm,Charms,1200,29.00,10
