"sku","product","handle","price","variant"
,"test","test","1.00","Default Title"
"ORCB01","Whale Charm","whale-charm","29.00","Default Title"
"ORGCB56-R","Love Charm, Red Enamel","love-charm-red-enamel","49.00","Default Title"
"ORCB03","Elephant Charm","elephant-charm","29.00","Default Title"
"ORCB02","Turtle Charm","turtle-charm","29.00","Default Title"
"ORCB07","Hippo Charm","hippo-charm","29.00","Default Title"
"ORCB06","Fox Charm, Rose Gold","fox-charm-rose-gold","29.00","Default Title"
"ORCB05","Unicorn Charm","unicorn-charm","39.00","Default Title"
"ORCB09","Puppy Charm","puppy-charm","29.00","Default Title"
"ORCB08","Rabbit Charm","rabbit-charm","29.00","Default Title"
"ORCB101","Sweet Wrapper Charm","sweet-wrapper-charm","49.00","Default Title"
"ORCB100","Star Pave Charm, Purple","star-pave-charm-purple","39.00","Default Title"
"ORCB10","Carousel Charm","carousel-charm","39.00","Default Title"
"ORCB103","Rainbow Egg Charm","rainbow-egg-charm","49.00","Default Title"
"ORCB102","Star Charm, Purple Centre","star-charm-purple-centre","39.00","Default Title"
"ORCB107","Graduation Owl Charm","graduation-owl-charm","39.00","Default Title"
"ORCB106","Angel Charm, Pink Heart","angel-charm-pink-heart","39.00","Default Title"
"ORCB104","Ribbon Bow Charm, Red Heart","ribbon-bow-charm-red-heart","39.00","Default Title"
"ORCB11","Birthday Balloon Charm","birthday-balloon-charm","39.00","Default Title"
"ORCB108","Unicorn Charm, Gold Mane","unicorn-charm-gold-mane","29.00","Default Title"
"ORCB113","Puzzle Heart Charm, Multicolour","puzzle-heart-charm-multicolour","39.00","Default Title"
"ORCB111","Butterfly Charm, Turquoise Spots","butterfly-charm-turquoise-spots","39.00","Default Title"
"ORCB110","Princess Charm","princess-charm","39.00","Default Title"
"ORCB115","Stitched Heart Charm","stitched-heart-charm","39.00","Default Title"
"ORCB114","Mom Heart Charm","mom-heart-charm","39.00","Default Title"
"ORCB118","Dreamcatcher Charm, Rainbow","dreamcatcher-charm-rainbow","49.00","Default Title"
"ORCB117","Frangipani Charm, Yellow","frangipani-charm-yellow","39.00","Default Title"
"ORCB116","Heart Padlock Charm, Blue","heart-padlock-charm-blue","39.00","Default Title"
"ORCB12","Boy Charm","boy-charm","29.00","Default Title"
"ORCB119","Graduation Charm","graduation-charm","39.00","Default Title"
"ORCB122","Witch Hat Charm, Rose Gold","witch-hat-charm-rose-gold","39.00","Default Title"
"ORCB120","Angel Wing Charm","angel-wing-charm","39.00","Default Title"
"ORCB125","Basketball Charm","basketball-charm","39.00","Default Title"
"ORCB124","Clover Charm, Purple","clover-charm-purple","49.00","Default Title"
"ORCB123","Horse Charm","horse-charm","49.00","Default Title"
"ORCB127","Rabbit and Strawberry Charm","rabbit-and-strawberry-charm","39.00","Default Title"
"ORCB126","Cactus Charm","cactus-charm","29.00","Default Title"
"ORCB13","Girl Charm","girl-charm","29.00","Default Title"
"ORCB129","Two Cats and Moon Charm","two-cats-and-moon-charm","39.00","Default Title"
"ORCB128","Ladybird Charm","ladybird-charm","49.00","Default Title"
"ORCB136","Camera Charm, Pink","camera-charm-pink","39.00","Default Title"
"ORCB135","Medical Chart Charm","medical-chart-charm","39.00","Default Title"
"ORCB138","Lucky Clover Heart Charm","lucky-clover-heart-charm","29.00","Default Title"
"ORCB137","Elephant Charm, Pink and Green","elephant-charm-pink-and-green","39.00","Default Title"
"ORCB140","Rainbow Charm","rainbow-charm","39.00","Default Title"
"ORCB14","Couple in a Boat Charm","couple-in-a-boat-charm","29.00","Default Title"
"ORCB139","Sunflower Charm","sunflower-charm","49.00","Default Title"
"ORCB144","Best Friends Charm","best-friends-charm","39.00","Default Title"
"ORCB142","Mermaid Charm","mermaid-charm","39.00","Default Title"
"ORCB149","Giraffe Charm","giraffe-charm","39.00","Default Title"
"ORCB146","Ship's Wheel Charm","ships-wheel-charm","29.00","Default Title"
"ORCB145","Daisy Charm, Gold and White","daisy-charm-gold-and-white","39.00","Default Title"
"ORCB150","Lucky Star Charm, Gold","lucky-star-charm-gold","39.00","Default Title"
"ORCB15","Footballer Charm","footballer-charm","29.00","Default Title"
"ORCB153","Flower Heart Charm","flower-heart-charm","39.00","Default Title"
