"sku","product","handle","pid","vid","variant","price","vendor","ptype"
,"test","test","10440442478882","52246362194210","Default Title","1.00","Orloff of Denmark",""
"ORCB01","Whale Charm","whale-charm","10436315775266","52222108008738","Default Title","29.00","Orloff of Denmark","Charm"
"ORGCB56-R","Love Charm, Red Enamel","love-charm-red-enamel","10436315709730","52222107713826","Default Title","49.00","Orloff of Denmark","Charm"
"ORCB03","Elephant Charm","elephant-charm","10436315906338","52222108238114","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB02","Turtle Charm","turtle-charm","10436315808034","52222108041506","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB07","Hippo Charm","hippo-charm","10436316004642","52222108336418","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB06","Fox Charm, Rose Gold","fox-charm-rose-gold","10436315971874","52222108303650","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB05","Unicorn Charm","unicorn-charm","10436315939106","52222108270882","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB09","Puppy Charm","puppy-charm","10436316070178","52222108401954","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB08","Rabbit Charm","rabbit-charm","10436316037410","52222108369186","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB101","Sweet Wrapper Charm","sweet-wrapper-charm","10436316168482","52222108500258","Default Title","49.00","Orloff of Denmark","Charm"
"ORCB100","Star Pave Charm, Purple","star-pave-charm-purple","10436316135714","52222108467490","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB10","Carousel Charm","carousel-charm","10436316102946","52222108434722","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB103","Rainbow Egg Charm","rainbow-egg-charm","10436316266786","52222108696866","Default Title","49.00","Orloff of Denmark","Charm"
"ORCB102","Star Charm, Purple Centre","star-charm-purple-centre","10436316234018","52222108565794","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB107","Graduation Owl Charm","graduation-owl-charm","10436316397858","52222108860706","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB106","Angel Charm, Pink Heart","angel-charm-pink-heart","10436316365090","52222108827938","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB104","Ribbon Bow Charm, Red Heart","ribbon-bow-charm-red-heart","10436316332322","52222108795170","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB11","Birthday Balloon Charm","birthday-balloon-charm","10436316463394","52222108926242","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB108","Unicorn Charm, Gold Mane","unicorn-charm-gold-mane","10436316430626","52222108893474","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB113","Puzzle Heart Charm, Multicolour","puzzle-heart-charm-multicolour","10436316561698","52222109090082","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB111","Butterfly Charm, Turquoise Spots","butterfly-charm-turquoise-spots","10436316528930","52222108991778","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB110","Princess Charm","princess-charm","10436316496162","52222108959010","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB115","Stitched Heart Charm","stitched-heart-charm","10436316725538","52222109286690","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB114","Mom Heart Charm","mom-heart-charm","10436316692770","52222109253922","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB118","Dreamcatcher Charm, Rainbow","dreamcatcher-charm-rainbow","10436316889378","52222109450530","Default Title","49.00","Orloff of Denmark","Charm"
"ORCB117","Frangipani Charm, Yellow","frangipani-charm-yellow","10436316856610","52222109417762","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB116","Heart Padlock Charm, Blue","heart-padlock-charm-blue","10436316758306","52222109319458","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB12","Boy Charm","boy-charm","10436316954914","52222109516066","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB119","Graduation Charm","graduation-charm","10436316922146","52222109483298","Default Title","39.00","Orloff of Denmark","Charm"
