"Folder","Sku","Title","Handle"
"CBB01","ORCBB01-17","Snake Chain Bracelet","snake-chain-bracelet"
"CBB01","ORCBB01-19","",""
"CBB01","ORCBB01-21","",""
"GCB05","ORGCB05-P-18","Durian Charm","durian-charm"
"GCB06","ORGCB06-P","Danish Flag Charm, Pave","danish-flag-charm-pave"
"GCB07-18K","ORGCB07-18K","Lotus Flower Charm, 18K Gold","lotus-flower-charm-18k-gold"
"GCB07-P","ORGCB07-P","Lotus Flower Charm","lotus-flower-charm"
"GCB08-18K","ORGCB08-18K","Tassel Charm, 18K Gold","tassel-charm-18k-gold"
"GCB08-P","ORGCB08-P","Tassel Charm","tassel-charm"
"GCB09","ORGCB09-P","Whale Tail Charm","whale-tail-charm"
"GCB10","ORGCB10-P","Royal Guard Charm","royal-guard-charm"
"GCB11","ORGCB11-18K","",""
"GCB12","ORGCB12-18K","",""
"GCB18","ORGCB18","",""
"GCB19-18K","ORGCB19-18K","",""
"GCB19-P","ORGCB19-P","",""
"GCB20-18K","ORGCB20-18K","",""
"GCB20-P","ORGCB20-P","",""
"GCB21-18K","ORGCB21-18K","",""
"GCB21-P","ORGCB21-P","",""
"GCB22-18K","ORGCB22-18K","",""
"GCB22-P","ORGCB22-P","",""
"GCB23-18K","ORGCB23-18K","",""
"GCB23-P","ORGCB23-P","",""
"GCB24-18K","ORGCB24-18K","",""
"GCB24-P","ORGCB24-P","",""
"GCB25","ORGCB25","Little Mermaid Charm","little-mermaid-charm"
"GCB26-18K","ORGCB26-18K","",""
"GCB26-P","ORGCB26-P","",""
"GCB27","ORGCB27","Coat of Arms Charm","coat-of-arms-charm"
"GCB28-18K","ORGCB28-18K","",""
"GCB28-P","ORGCB28-P","",""
"GCB29-18K","ORGCB29-18K","",""
"GCB29-P","ORGCB29-P","",""
"GCB30-18K","ORGCB30-18K","",""
"GCB30-P","ORGCB30-P","",""
"GCB50","ORGCB50P","Danish Flag Charm, Red Enamel","danish-flag-charm-red-enamel"
"GSB106-P","ORGSB106-P-180","",""
"GSB106-P","ORGSB106-P-190","",""
