"SKU","Parent Product SKU","Product Name","Category","Price Type","Unit","Tax-Inclusive Price","Min Price","Max Price","Cost","Supplier Price","Product Tags","Inventory Type","Track Stock Levels","Barcode","Variant Name 1","Variant Value 1","Variant Name 2","Variant Value 2","Variant Name 3","Variant Value 3","Supplier","Tax Name","Store Credits","Kitchen Station","ORLOFF OF DENMARK (BLUPORT)_Quantity","ORLOFF OF DENMARK (BLUPORT)_Warning Stock Level","ORLOFF OF DENMARK (BLUPORT)_Ideal Stock Level","Online Price","Online Discounted Price","Product Description"
"ORSE18","","ORSE18","Earrings","Fixed","","1900","","","177.31","","","Simple","1","","","","","","","","","","","","10","","","","",""
"ORSE19","","ORSE19","Earrings","Fixed","","1900","","","220.64","","","Simple","1","","","","","","","","","","","","14","","","","",""
"ORSE22","","ORSE22","Earrings","Fixed","","1900","","","296.73","","","Simple","1","","","","","","","","","","","","11","","","","",""
"ORSE42","","ORSE42","Earrings","Fixed","","1900","","","383.40","","","Simple","1","","","","","","","","","","","","15","","","","",""
"ORSE46","","ORSE46","Earrings","Fixed","","3900","","","470.40","","Premium","Simple","1","","","","","","","","","","","","13","","","","",""
"ORSE71-L","","ORSE71-L","Earrings","Fixed","","1900","","","104.86","","","Simple","1","","","","","","","","","","","","12","","","","",""
"ORSE71-R","","ORSE71-R","Earrings","Fixed","","1900","","","101.22","","","Simple","1","","","","","","","","","","","","13","","","","",""
"ORSE71-W","","ORSE71-W","Earrings","Fixed","","1900","","","101.22","","","Simple","1","","","","","","","","","","","","12","","","","",""
"ORSE76","","ORSE76","Earrings","Fixed","","1900","","","162.75","","","Simple","1","","","","","","","","","","","","15","","","","",""
"ORSE84","","ORSE84","Earrings","Fixed","","1900","","","93.95","","","Simple","1","","","","","","","","","","","","22","","","","",""
"ORSE102","","ORSE102","Earrings","Fixed","","1900","","","131.33","","","Simple","1","","","","","","","","","","","","24","","","","",""
"ORSE103","","ORSE103","Earrings","Fixed","","1900","","","124.05","","","Simple","1","","","","","","","","","","","","22","","","","",""
"ORSE114","","ORSE114","Earrings","Fixed","","1900","","","108.50","","","Simple","1","","","","","","","","","","","","15","","","","",""
"ORSE266","","ORSE266","Earrings","Fixed","","1900","","","110.82","","","Simple","1","","","","","","","","","","","","9","","","","",""
"ORSN04","","ORSN04","Necklaces","Fixed","","1900","","","137.61","","","Simple","1","","","","","","","","","","","","15","","","","",""
"ORSN38","","ORSN38","Necklaces","Fixed","","1900","","","168.71","","","Simple","1","","","","","","","","","","","","15","","","","",""
"ORSN40","","ORSN40","Necklaces","Fixed","","1900","","","179.62","","","Simple","1","","","","","","","","","","","","15","","","","",""
"ORSN41","","ORSN41","Necklaces","Fixed","","1900","","","186.57","","","Simple","1","","","","","","","","","","","","15","","","","",""
"ORSN43","","ORSN43","Necklaces","Fixed","","1900","","","212.04","","","Simple","1","","","","","","","","","","","","15","","","","",""
"ORSN44","","ORSN44","Necklaces","Fixed","","1900","","","193.85","","","Simple","1","","","","","","","","","","","","12","","","","",""
"ORSN60","","ORSN60","Necklaces","Fixed","","1900","","","258.35","","","Simple","1","","","","","","","","","","","","15","","","","",""
"ORSN89-P","","ORSN89-P","Necklaces","Fixed","","1900","","","201.13","","","Simple","1","","","","","","","","","","","","11","","","","",""
"ORSN174-P","","ORSN174-P","Necklaces","Fixed","","1900","","","218.99","","","Simple","1","","","","","","","","","","","","15","","","","",""
"ORSME13","","ORSME13","Earrings","Fixed","","1900","","","254.39","","","Simple","1","","","","","","","","","","","","2","","","","",""
"ORSWB07","","ORSWB07","Bracelets (Swarovski)","Fixed","","3900","","","503.15","","Premium","Simple","1","","","","","","","","","","","","4","","","","",""
"ORSWE07","","ORSWE07","Earrings (Swarovski)","Fixed","","1900","","","293.09","","","Simple","1","","","","","","","","","","","","17","","","","",""
"ORSWE08","","ORSWE08","Earrings (Swarovski)","Fixed","","1900","","","277.21","","","Simple","1","","","","","","","","","","","","20","","","","",""
"ORSWE09","","ORSWE09","Earrings (Swarovski)","Fixed","","1900","","","243.80","","","Simple","1","","","","","","","","","","","","20","","","","",""
"ORSWE10","","ORSWE10","Earrings (Swarovski)","Fixed","","1900","","","220.31","","","Simple","1","","","","","","","","","","","","20","","","","",""
"ORSWE11","","ORSWE11","Earrings (Swarovski)","Fixed","","1900","","","157.79","","","Simple","1","","","","","","","","","","","","15","","","","",""
"ORSWE12","","ORSWE12","Earrings (Swarovski)","Fixed","","1900","","","249.09","","","Simple","1","","","","","","","","","","","","15","","","","",""
"ORSWE14-B","","ORSWE14-B","Earrings (Swarovski)","Fixed","","1900","","","226.27","","","Simple","1","","","","","","","","","","","","15","","","","",""
