sku,category,unit_cost_usd,suggested_price_thb,margin_pct
ORSE18,Earrings,5.36,1900,91
ORSE19,Earrings,6.67,1900,88
ORSE22,Earrings,8.97,1900,84
ORSE42,Earrings,11.59,1900,80
ORSE46,Earrings,14.22,3900,88
ORSE71-L,Earrings,3.17,1900,94
ORSE71-R,Earrings,3.06,1900,95
ORSE71-W,Earrings,3.06,1900,95
ORSE76,Earrings,4.92,1900,91
ORSE84,Earrings,2.84,1900,95
ORSE102,Earrings,3.97,1900,93
ORSE103,Earrings,3.75,1900,93
ORSE114,Earrings,3.28,1900,94
ORSE266,Earrings,3.35,1900,94
ORSN04,Necklaces,4.16,1900,93
ORSN38,Necklaces,5.10,1900,91
ORSN40,Necklaces,5.43,1900,91
ORSN41,Necklaces,5.64,1900,90
ORSN43,Necklaces,6.41,1900,89
ORSN44,Necklaces,5.86,1900,90
ORSN60,Necklaces,7.81,1900,86
ORSN89-P,Necklaces,6.08,1900,89
ORSN174-P,Necklaces,6.62,1900,88
ORSME13,Earrings,7.69,1900,87
ORSWB07,Bracelets (Swarovski),15.21,3900,87
ORSWE07,Earrings (Swarovski),8.86,1900,85
ORSWE08,Earrings (Swarovski),8.38,1900,85
ORSWE09,Earrings (Swarovski),7.37,1900,87
ORSWE10,Earrings (Swarovski),6.66,1900,88
ORSWE11,Earrings (Swarovski),4.77,1900,92
ORSWE12,Earrings (Swarovski),7.53,1900,87
ORSWE14-B,Earrings (Swarovski),6.84,1900,88
ORSWE14-F,Earrings (Swarovski),6.84,1900,88
ORSWE15,Earrings (Swarovski),5.48,1900,90
ORSWE16,Earrings (Swarovski),8.42,1900,85
ORSWB04-F,Bracelets (Swarovski),12.44,2500,84
ORSWB04-B,Bracelets (Swarovski),12.44,2500,84
ORSWB05,Bracelets (Swarovski),12.23,2500,84
ORSWB06-B,Bracelets (Swarovski),12.88,2500,83
ORSWB06-F,Bracelets (Swarovski),12.88,2500,83
ORSWB06-P,Bracelets (Swarovski),12.88,2500,83
ORSWB08,Bracelets (Swarovski),10.79,2500,86
ORSWN05-G,Necklaces (Swarovski),8.20,1900,86
ORSWN05-P,Necklaces (Swarovski),8.20,1900,86
ORSWN06-F,Necklaces (Swarovski),8.66,1900,85
ORSWN06-B,Necklaces (Swarovski),8.66,1900,85
ORSWN07,Necklaces (Swarovski),8.38,1900,85
ORSWN08,Necklaces (Swarovski),8.16,1900,86
ORSWE01-R,Earrings (Swarovski),5.60,1900,90
ORSWE02-P,Earrings (Swarovski),4.17,1900,93
ORSWE03-P,Earrings (Swarovski),5.40,1900,91
ORSWE04-P,Earrings (Swarovski),5.07,1900,91
ORSWE05-P,Earrings (Swarovski),6.93,1900,88
ORSWE06-B,Earrings (Swarovski),4.29,1900,93
ORSWE06-F,Earrings (Swarovski),4.29,1900,93
ORSWN01-P,Necklaces (Swarovski),7.53,1900,87
ORSWN02-P,Necklaces (Swarovski),6.44,1900,89
ORSWN03-P,Necklaces (Swarovski),7.63,1900,87
ORSWN04-B,Necklaces (Swarovski),6.96,1900,88
ORSWN04-F,Necklaces (Swarovski),6.96,1900,88
ORSWN04-P,Necklaces (Swarovski),6.96,1900,88
ORSWN04-G,Necklaces (Swarovski),6.96,1900,88
ORSWB01-P,Bracelets (Swarovski),13.23,3900,89
ORSWB02-P,Bracelets (Swarovski),7.08,2500,91
ORSWB03-B,Bracelets (Swarovski),8.71,2500,88
ORSWB03-F,Bracelets (Swarovski),8.71,2500,88
ORSWE17-F,Earrings (Swarovski),6.10,1900,89
ORSWE17-B,Earrings (Swarovski),6.10,1900,89
ORSWN15,Necklaces (Swarovski),8.41,1900,85
ORSWN16,Necklaces (Swarovski),8.30,1900,86
ORSB42,Bracelets,8.52,2500,89
ORSB43,Bracelets,7.71,2500,90
ORSB61-16.5,Bracelets,9.41,2500,88
ORSB61-18,Bracelets,9.84,2500,87
ORSB62-16.5,Bracelets,11.05,2500,85
ORSB62-18,Bracelets,11.38,2500,85
"ORSB92-6.5""",Bracelets,10.61,2500,86
"ORSB92-7""",Bracelets,11.16,2500,85
"ORSB93-6.5""",Bracelets,13.34,3900,89
"ORSB93-7""",Bracelets,13.56,3900,88
"ORSB94-6.5""",Bracelets,11.70,2500,85
"ORSB94-7""",Bracelets,12.91,2500,83
"ORSB95-6.5""",Bracelets,15.97,3900,86
"ORSB95-7""",Bracelets,17.28,3900,85
ORCB01,Charms,3.75,1200,90
ORCB02,Charms,3.84,1200,89
ORCB03,Charms,4.03,1200,89
ORCB04,Charms,4.38,1200,88
ORCB05,Charms,5.12,1200,86
ORCB06,Charms,4.15,1200,89
ORCB07,Charms,2.92,1200,92
ORCB08,Charms,4.05,1200,89
ORCB09,Charms,4.42,1200,88
ORCB10,Charms,4.76,1200,87
ORCB11,Charms,5.24,1200,86
ORCB12,Charms,3.54,1200,90
ORCB13,Charms,3.30,1200,91
ORCB14,Charms,3.77,1200,90
ORCB15,Charms,3.50,1200,90
ORCB16,Charms,3.72,1200,90
ORCB17,Charms,5.48,1200,85
ORCB18,Charms,5.10,1200,86
ORCB20,Charms,3.28,1200,91
ORCB21,Charms,2.87,1200,92
ORCB22,Charms,4.59,1200,87
ORCB23,Charms,3.52,1200,90
ORCB25,Charms,4.07,1200,89
ORCB26,Charms,3.93,1200,89
ORCB27,Charms,4.99,1200,86
ORCB28,Charms,2.76,1200,92
ORCB29,Charms,3.59,1200,90
ORCB30,Charms,6.69,1200,82
ORCB34,Charms,5.03,1200,86
ORCB35,Charms,4.59,1200,87
ORCB36,Charms,7.22,1200,80
ORCB37,Charms,3.94,1200,89
ORCB38,Charms,4.92,1200,86
ORCB39,Charms,5.36,1200,85
ORCB40,Charms,4.27,1200,88
ORCB41,Charms,5.58,1200,85
ORCB42,Charms,4.16,1200,89
ORCB43,Charms,4.05,1200,89
ORCB44,Charms,4.92,1200,86
ORCB45,Charms,4.81,1200,87
ORCB46,Charms,5.14,1200,86
ORCB47,Charms,4.48,1200,88
ORCB48,Charms,7.22,1200,80
ORCB49,Charms,6.34,1200,83
ORCB50,Charms,6.23,1200,83
ORCB51,Charms,7.88,1200,78
ORCB52,Charms,4.16,1200,89
ORCB53,Charms,5.47,1200,85
ORCB54,Charms,5.91,1200,84
ORCB55,Charms,5.35,1200,85
ORCB56,Charms,5.28,1200,85
ORCB58,Charms,4.01,1200,89
ORCB59,Charms,4.27,1200,88
ORCB60,Charms,5.49,1200,85
ORCB61,Charms,4.33,1200,88
ORCB62,Charms,5.62,1200,85
ORCB63,Charms,4.77,1200,87
ORCB64,Charms,5.46,1200,85
ORCB65,Charms,5.64,1200,84
ORCB66,Charms,3.50,1200,90
ORCB67,Charms,3.88,1200,89
ORCB70,Charms,5.35,1200,85
ORCB71,Charms,4.13,1200,89
ORCB73,Charms,4.59,1200,87
ORCB74,Charms,5.13,1200,86
ORCB76,Charms,7.34,1200,80
ORCB77,Charms,7.22,1200,80
ORCB78,Charms,5.80,1200,84
ORCB79,Charms,9.30,1200,74
ORCB80,Charms,4.87,1200,87
ORCB81,Charms,4.59,1200,87
ORCB82,Charms,5.50,1200,85
ORCB83,Charms,5.21,1200,86
ORCB84,Charms,4.87,1200,87
ORCB85,Charms,4.81,1200,87
ORCB86,Charms,5.69,1200,84
ORCB88,Charms,3.36,1200,91
ORCB89,Charms,5.88,1200,84
ORCB100,Charms,6.25,1200,83
ORCB101,Charms,7.02,1200,81
ORCB102,Charms,6.46,1200,82
ORCB103,Charms,7.02,1200,81
ORCB104,Charms,6.00,1200,83
ORCB106,Charms,5.17,1200,86
ORCB107,Charms,6.13,1200,83
ORCB108,Charms,4.26,1200,88
ORCB110,Charms,6.13,1200,83
ORCB111,Charms,5.46,1200,85
ORCB113,Charms,6.30,1200,83
ORCB114,Charms,5.19,1200,86
ORCB115,Charms,5.03,1200,86
